region,hemisphere,NAVR,NAVR_corrected,correction,population_size
bankssts,lh,0.1786116799446558,0.015015217772437585,0.08406627034183972,566
bankssts,rh,0.1825977843962243,0.015350314706873954,0.08406627034183972,566
caudalanteriorcingulate,lh,0.1683153490493292,0.014149643635862024,0.08406627034183972,566
caudalanteriorcingulate,rh,0.13837146809315984,0.011632373244316825,0.08406627034183972,566
caudalmiddlefrontal,lh,0.1391865515943926,0.011700894274282631,0.08406627034183972,566
caudalmiddlefrontal,rh,0.16575643998932443,0.01393452569504348,0.08406627034183972,566
cuneus,lh,0.1320470351444211,0.011100701754289314,0.08406627034183972,566
cuneus,rh,0.13591221184742594,0.0114256327439231,0.08406627034183972,566
entorhinal,lh,0.35302182096944573,0.02967722783818597,0.08406627034183972,566
entorhinal,rh,0.33948613828350466,0.028539333478248285,0.08406627034183972,566
frontalpole,lh,0.38782767053760125,0.03260322579745994,0.08406627034183972,566
frontalpole,rh,0.41648243089307463,0.03501212462808379,0.08406627034183972,566
fusiform,lh,0.14805904647735366,0.012446771827720225,0.08406627034183972,566
fusiform,rh,0.1441676106290709,0.01211963332968056,0.08406627034183972,566
inferiorparietal,lh,0.09216044828525445,0.00774758516037334,0.08406627034183972,566
inferiorparietal,rh,0.09317435892282915,0.007832820846134162,0.08406627034183972,566
inferiortemporal,lh,0.1600867279656501,0.013457894151300895,0.08406627034183972,566
inferiortemporal,rh,0.1463527859563971,0.012303332869491883,0.08406627034183972,566
insula,lh,0.29984799488664304,0.02520710259959911,0.08406627034183972,566
insula,rh,0.374478321744222,0.031480995832908205,0.08406627034183972,566
isthmuscingulate,lh,0.13255625158239953,0.011143509681026918,0.08406627034183972,566
isthmuscingulate,rh,0.1798584080766769,0.015120025556626851,0.08406627034183972,566
lateraloccipital,lh,0.08745253029444319,0.007351808053810589,0.08406627034183972,566
lateraloccipital,rh,0.08835267039712534,0.007427479475028198,0.08406627034183972,566
lateralorbitofrontal,lh,0.16782078469150116,0.014108067454855414,0.08406627034183972,566
lateralorbitofrontal,rh,0.33866097336791506,0.02846996494137773,0.08406627034183972,566
lingual,lh,0.1180788657866528,0.009926449852878563,0.08406627034183972,566
lingual,rh,0.12000633452643805,0.010088484961032795,0.08406627034183972,566
medialorbitofrontal,lh,0.27722857340467594,0.023305572198320045,0.08406627034183972,566
medialorbitofrontal,rh,0.23735079575824433,0.019953196162063352,0.08406627034183972,566
middletemporal,lh,0.1432600859199927,0.012043341112145292,0.08406627034183972,566
middletemporal,rh,0.11186313669400523,0.009403916690604414,0.08406627034183972,566
paracentral,lh,0.15807568505418151,0.013288833274236337,0.08406627034183972,566
paracentral,rh,0.15588192072414395,0.013104411689001113,0.08406627034183972,566
parahippocampal,lh,0.25375061423868706,0.02133186773599735,0.08406627034183972,566
parahippocampal,rh,0.2797618263430707,0.023518533324683396,0.08406627034183972,566
parsopercularis,lh,0.141107643524262,0.011862393307810559,0.08406627034183972,566
parsopercularis,rh,0.172803742272672,0.014526966113976041,0.08406627034183972,566
parsorbitalis,lh,0.20677187297391458,0.017382540172513644,0.08406627034183972,566
parsorbitalis,rh,0.1869218196284564,0.01571382022167442,0.08406627034183972,566
parstriangularis,lh,0.13424397753003495,0.011285390506803775,0.08406627034183972,566
parstriangularis,rh,0.19772476088618748,0.016621983201933855,0.08406627034183972,566
pericalcarine,lh,0.15151537425261086,0.012737332412865007,0.08406627034183972,566
pericalcarine,rh,0.16519852565257043,0.01388762391758233,0.08406627034183972,566
postcentral,lh,0.1565426209458112,0.013159954292450706,0.08406627034183972,566
postcentral,rh,0.20033388375337294,0.01684132243024174,0.08406627034183972,566
posteriorcingulate,lh,0.14392030192181077,0.012098843009038138,0.08406627034183972,566
posteriorcingulate,rh,0.16233604669113408,0.013646985987362394,0.08406627034183972,566
precentral,lh,0.12349120442529911,0.010381444976056588,0.08406627034183972,566
precentral,rh,0.15602086922462877,0.013116092571206463,0.08406627034183972,566
precuneus,lh,0.11580600161822104,0.009735378639244898,0.08406627034183972,566
precuneus,rh,0.11470093556251107,0.009642479857459993,0.08406627034183972,566
rostralanteriorcingulate,lh,0.19853329851133877,0.016689953944511372,0.08406627034183972,566
rostralanteriorcingulate,rh,0.1753326949058068,0.01473956572971486,0.08406627034183972,566
rostralmiddlefrontal,lh,0.1574330702065638,0.013234811040730826,0.08406627034183972,566
rostralmiddlefrontal,rh,0.1875342156885125,0.01576530207441537,0.08406627034183972,566
superiorfrontal,lh,0.12969696862555796,0.01090314042699326,0.08406627034183972,566
superiorfrontal,rh,0.15484085290848143,0.01301689300056544,0.08406627034183972,566
superiorparietal,lh,0.13588616020663838,0.011423442679645806,0.08406627034183972,566
superiorparietal,rh,0.17422872989010083,0.014646759508256587,0.08406627034183972,566
superiortemporal,lh,0.11764775979975517,0.009890208380438041,0.08406627034183972,566
superiortemporal,rh,0.11755515661078106,0.009882423575719227,0.08406627034183972,566
supramarginal,lh,0.10825690065592941,0.009100753876911049,0.08406627034183972,566
supramarginal,rh,0.17770827234461375,0.014939271664903579,0.08406627034183972,566
temporalpole,lh,0.3829949443932145,0.032196956534917845,0.08406627034183972,566
temporalpole,rh,0.3636998202085135,0.030574887408927397,0.08406627034183972,566
transversetemporal,lh,0.18095038018158421,0.015211823578803735,0.08406627034183972,566
transversetemporal,rh,0.2243868641979294,0.01886336678682081,0.08406627034183972,566
