region,hemisphere,NAVR,NAVR_corrected,correction,population_size
bankssts,lh,0.1845025730650961,0.015510443186055404,0.08406627034183972,566
bankssts,rh,0.1854443083124407,0.015589611355949114,0.08406627034183972,566
caudalanteriorcingulate,lh,0.151412333891079,0.012728670193976348,0.08406627034183972,566
caudalanteriorcingulate,rh,0.12482157559538515,0.010493284318496032,0.08406627034183972,566
caudalmiddlefrontal,lh,0.13805096962177796,0.011605430133177488,0.08406627034183972,566
caudalmiddlefrontal,rh,0.15092504726408176,0.012687705824657235,0.08406627034183972,566
cuneus,lh,0.12089827938840736,0.010163467438929123,0.08406627034183972,566
cuneus,rh,0.131161377606318,0.01102624782826085,0.08406627034183972,566
entorhinal,lh,0.3816709994549042,0.032085657421816134,0.08406627034183972,566
entorhinal,rh,0.36497582581912613,0.030682156441546864,0.08406627034183972,566
frontalpole,lh,0.38195032530402473,0.03210913930416177,0.08406627034183972,566
frontalpole,rh,0.3753935500490478,0.031557935663006194,0.08406627034183972,566
fusiform,lh,0.15914678423267176,0.01337887658733822,0.08406627034183972,566
fusiform,rh,0.15252351028265318,0.012822082648907893,0.08406627034183972,566
inferiorparietal,lh,0.09284914228890796,0.00780548109666728,0.08406627034183972,566
inferiorparietal,rh,0.08902011076910302,0.007483588697775932,0.08406627034183972,566
inferiortemporal,lh,0.1417555657440496,0.011916861712299708,0.08406627034183972,566
inferiortemporal,rh,0.12290904961853755,0.01033250539269057,0.08406627034183972,566
insula,lh,0.21316643481908915,0.017920107137307704,0.08406627034183972,566
insula,rh,0.2687688845153602,0.02259439770514297,0.08406627034183972,566
isthmuscingulate,lh,0.1387550125534392,0.011664616396602783,0.08406627034183972,566
isthmuscingulate,rh,0.16492462143571504,0.013864597811640395,0.08406627034183972,566
lateraloccipital,lh,0.09876292637606289,0.008302630868481316,0.08406627034183972,566
lateraloccipital,rh,0.09173031339014692,0.007711425323997771,0.08406627034183972,566
lateralorbitofrontal,lh,0.12961169847174023,0.010895972083190328,0.08406627034183972,566
lateralorbitofrontal,rh,0.2632513153251993,0.022130556241973097,0.08406627034183972,566
lingual,lh,0.10046496831648018,0.008445715186377585,0.08406627034183972,566
lingual,rh,0.10546907451409997,0.008866391730805966,0.08406627034183972,566
medialorbitofrontal,lh,0.22882938535636657,0.01923683297152533,0.08406627034183972,566
medialorbitofrontal,rh,0.2105292687371345,0.017698410420525775,0.08406627034183972,566
middletemporal,lh,0.1282152903479684,0.010778581260349786,0.08406627034183972,566
middletemporal,rh,0.09564940394510328,0.008040888650084883,0.08406627034183972,566
paracentral,lh,0.16674885904393505,0.01401795466358077,0.08406627034183972,566
paracentral,rh,0.16165273191709753,0.013589542262839663,0.08406627034183972,566
parahippocampal,lh,0.21255524218336952,0.017868726451962358,0.08406627034183972,566
parahippocampal,rh,0.2638892504962643,0.02218418507252442,0.08406627034183972,566
parsopercularis,lh,0.1506897820836207,0.012667927958394573,0.08406627034183972,566
parsopercularis,rh,0.17618892745234987,0.014811546006448031,0.08406627034183972,566
parsorbitalis,lh,0.23806886564813526,0.020013561619551257,0.08406627034183972,566
parsorbitalis,rh,0.19777847095315118,0.016626498406943302,0.08406627034183972,566
parstriangularis,lh,0.131174635547789,0.011027362373952729,0.08406627034183972,566
parstriangularis,rh,0.19272635860325815,0.016201786164339847,0.08406627034183972,566
pericalcarine,lh,0.14274423762793872,0.011999975670170106,0.08406627034183972,566
pericalcarine,rh,0.14323383037326112,0.012041133906255783,0.08406627034183972,566
postcentral,lh,0.12069672673013167,0.010146523658670402,0.08406627034183972,566
postcentral,rh,0.1602688847074516,0.013473207389201767,0.08406627034183972,566
posteriorcingulate,lh,0.13844537229206944,0.011638586094681755,0.08406627034183972,566
posteriorcingulate,rh,0.15450154916553518,0.012988369000382922,0.08406627034183972,566
precentral,lh,0.11037475506468708,0.009278793998182327,0.08406627034183972,566
precentral,rh,0.17043710220823202,0.014328011510517002,0.08406627034183972,566
precuneus,lh,0.1186409013213315,0.009973698084078582,0.08406627034183972,566
precuneus,rh,0.1160899061251455,0.009759245432275276,0.08406627034183972,566
rostralanteriorcingulate,lh,0.16098540572137876,0.013533442638464179,0.08406627034183972,566
rostralanteriorcingulate,rh,0.1580957690574996,0.013290521661488822,0.08406627034183972,566
rostralmiddlefrontal,lh,0.14799421297074808,0.01244132151662671,0.08406627034183972,566
rostralmiddlefrontal,rh,0.18476715656283973,0.01553268573390471,0.08406627034183972,566
superiorfrontal,lh,0.12004596473052549,0.010091816524483313,0.08406627034183972,566
superiorfrontal,rh,0.13512004363207938,0.011359038116575564,0.08406627034183972,566
superiorparietal,lh,0.13733174537807225,0.011544967633469719,0.08406627034183972,566
superiorparietal,rh,0.16206898801138658,0.013624535360193606,0.08406627034183972,566
superiortemporal,lh,0.11792366187099992,0.009913402438547176,0.08406627034183972,566
superiortemporal,rh,0.11032760577222624,0.009274830333015887,0.08406627034183972,566
supramarginal,lh,0.10974829346044832,0.009226129707601609,0.08406627034183972,566
supramarginal,rh,0.16060849271201963,0.013501756967524037,0.08406627034183972,566
temporalpole,lh,0.42153091530078807,0.03543653188311919,0.08406627034183972,566
temporalpole,rh,0.36911743379915346,0.03103032597764576,0.08406627034183972,566
transversetemporal,lh,0.14715827086829322,0.012371046981851614,0.08406627034183972,566
transversetemporal,rh,0.17908956839690382,0.015055392072257512,0.08406627034183972,566
