SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
22qvsCN,Laccumb,0.37,0.07,0.23,0.52,325,428,7.21e-07,3.83e-06,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,0.37
22qvsCN,Lamyg,-0.3,0.07,-0.45,-0.16,329,430,4.85e-05,0.000201,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,-0.3
22qvsCN,Lcaud,0.44,0.07,0.29,0.58,330,429,5.25e-09,4.06e-08,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,0.44
22qvsCN,Lhippo,-0.79,0.08,-0.95,-0.64,314,357,1.55e-22,3.2900000000000002e-21,0.156646722485764,0.0131687057206513,0.0840662703418397,566,-0.79
22qvsCN,Lpal,-0.11,0.08,-0.25,0.04,314,410,0.165,0.265,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,-0.11
22qvsCN,Lput,-0.3,0.07,-0.45,-0.16,329,431,4.61e-05,0.000201,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,-0.3
22qvsCN,Lthal,-0.45,0.07,-0.6,-0.3,328,429,2.09e-09,1.78e-08,0.1594777173659569,0.013406696901586,0.0840662703418397,566,-0.45
22qvsCN,LLatVent,0.89,0.08,0.74,1.04,330,437,7.500000000000001e-31,3.19e-29,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.89
22qvsCN,Raccumb,0.73,0.08,0.58,0.88,326,424,3.1900000000000003e-21,5.42e-20,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,0.73
22qvsCN,Ramyg,-0.34,0.07,-0.49,-0.2,330,430,4.5e-06,2.25e-05,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,-0.34
22qvsCN,Rcaud,0.71,0.08,0.56,0.86,324,419,4e-20,5.67e-19,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,0.71
22qvsCN,Rhippo,-0.9,0.08,-1.06,-0.75,325,396,4.96e-30,1.41e-28,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,-0.9
22qvsCN,Rpal,-0.17,0.07,-0.31,-0.02,329,431,0.0252,0.0627,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,-0.17
22qvsCN,Rput,-0.43,0.07,-0.57,-0.28,329,432,9.88e-09,7e-08,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,-0.43
22qvsCN,Rthal,0.11,0.07,-0.04,0.26,322,413,0.145,0.237,0.1615252968034185,0.013578829268122,0.0840662703418397,566,0.11
22qvsCN,RLatVent,0.93,0.08,0.78,1.08,330,437,2.24e-33,1.9000000000000002e-31,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.93
