SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
MDD_casevsCN,Laccumb,-0.019,0.034,-0.085,0.047,6967,1652,0.569,,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,
MDD_casevsCN,Lamyg,-0.06,0.036,-0.132,0.011,7060,1696,0.097,,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,-0.06
MDD_casevsCN,Lcaud,-0.023,0.05,-0.121,0.074,7034,1681,0.641,,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,-0.023
MDD_casevsCN,Lhippo,-0.144,0.041,-0.225,-0.064,7040,1700,0.00046,,0.156646722485764,0.0131687057206513,0.0840662703418397,566,-0.144
MDD_casevsCN,Lpal,-0.001,0.034,-0.067,0.065,7018,1657,0.972,,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,
MDD_casevsCN,Lput,0.012,0.034,-0.054,0.078,6957,1656,0.722,,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,0.012
MDD_casevsCN,Lthal,-0.044,0.038,-0.119,0.031,7046,1682,0.25,,0.1594777173659569,0.013406696901586,0.0840662703418397,566,-0.044
MDD_casevsCN,LLatVent,0.056,0.037,-0.017,0.129,7058,1689,0.13,,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.056
MDD_casevsCN,Raccumb,-0.019,0.034,-0.085,0.047,6967,1652,0.569,,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,
MDD_casevsCN,Ramyg,-0.06,0.036,-0.132,0.011,7060,1696,0.097,,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,-0.06
MDD_casevsCN,Rcaud,-0.023,0.05,-0.121,0.074,7034,1681,0.641,,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,-0.023
MDD_casevsCN,Rhippo,-0.144,0.041,-0.225,-0.064,7040,1700,0.00046,,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,-0.144
MDD_casevsCN,Rpal,-0.001,0.034,-0.067,0.065,7018,1657,0.972,,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,
MDD_casevsCN,Rput,0.012,0.034,-0.054,0.078,6957,1656,0.722,,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,
MDD_casevsCN,Rthal,-0.044,0.038,-0.119,0.031,7046,1682,0.25,,0.1615252968034185,0.013578829268122,0.0840662703418397,566,-0.044
MDD_casevsCN,RLatVent,0.056,0.037,-0.017,0.129,7058,1689,0.13,,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.056
