CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
MDDadult_casevsCN,L_bankssts,-0.058,0.031,-0.118,0.002,7571,1781,0.059,0.173,lh,0.1677499689699687,0.0141021142412646,0.0840662703418397,566,-0.058
MDDadult_casevsCN,L_caudalanteriorcingulate,-0.042,0.036,-0.113,0.028,7650,1900,0.24,0.377,lh,0.218059913852788,0.0183314836686667,0.0840662703418397,566,-0.042
MDDadult_casevsCN,L_caudalmiddlefrontal,-0.014,0.041,-0.094,0.067,7647,1898,0.741,0.844,lh,0.1754537886883238,0.0147497456323726,0.0840662703418397,566,
MDDadult_casevsCN,L_cuneus,0.047,0.03,-0.012,0.106,7652,1897,0.12,0.246,lh,0.2156188068256477,0.0181262689053898,0.0840662703418397,566,0.047
MDDadult_casevsCN,L_entorhinal,-0.041,0.038,-0.115,0.033,7605,1866,0.276,0.42,lh,0.3470851322603475,0.0291781525602315,0.0840662703418397,566,-0.041
MDDadult_casevsCN,L_fusiform,-0.117,0.03,-0.176,-0.058,7645,1896,9.51e-05,0.007,lh,0.2208815572798723,0.0185686887078163,0.0840662703418397,566,-0.117
MDDadult_casevsCN,L_inferiorparietal,-0.063,0.044,-0.149,0.022,7638,1894,0.147,0.277,lh,0.1391924238955952,0.011701387936743,0.0840662703418397,566,-0.063
MDDadult_casevsCN,L_inferiortemporal,-0.049,0.035,-0.117,0.019,7630,1872,0.158,0.291,lh,0.1933617196161122,0.0162551985950111,0.0840662703418397,566,-0.049
MDDadult_casevsCN,L_isthmuscingulate,-0.104,0.046,-0.194,-0.014,7655,1897,0.024,0.1,lh,0.2217328411887773,0.0186402529710399,0.0840662703418397,566,-0.104
MDDadult_casevsCN,L_lateraloccipital,-0.023,0.044,-0.109,0.063,7645,1898,0.605,0.756,lh,0.150791017775439,0.0126764384654312,0.0840662703418397,566,-0.023
MDDadult_casevsCN,L_lateralorbitofrontal,-0.046,0.031,-0.107,0.014,7638,1898,0.13,0.26,lh,0.2366271707244036,0.0198923637043423,0.0840662703418397,566,-0.046
