SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
OCDadults_casevsCN,L_bankssts,0.022,5.722,,,1282,1356,0.58,0.894,lh,0.1786116799446558,0.0150152177724375,0.0840662703418397,566,0.022
OCDadults_casevsCN,L_caudalanteriorcingulate,0.017,4.565,,,1413,1472,0.646,0.894,lh,0.1683153490493292,0.014149643635862,0.0840662703418397,566,0.017
OCDadults_casevsCN,L_caudalmiddlefrontal,-0.04,11.981,,,1427,1477,0.287,0.878,lh,0.1391865515943926,0.0117008942742826,0.0840662703418397,566,-0.04
OCDadults_casevsCN,L_cuneus,-0.023,6.747,,,1402,1464,0.536,0.878,lh,0.1320470351444211,0.0111007017542893,0.0840662703418397,566,-0.023
OCDadults_casevsCN,L_entorhinal,-0.013,2.827,,,1316,1381,0.742,0.927,lh,0.3530218209694457,0.0296772278381859,0.0840662703418397,566,
OCDadults_casevsCN,L_fusiform,0.028,12.95,,,1426,1487,0.451,0.878,lh,0.1480590464773536,0.0124467718277202,0.0840662703418397,566,0.028
OCDadults_casevsCN,L_inferiorparietal,0.036,19.456,,,1363,1433,0.346,0.878,lh,0.0921604482852544,0.0077475851603733,0.0840662703418397,566,0.036
OCDadults_casevsCN,L_inferiortemporal,-0.023,14.447,,,1382,1469,0.536,0.878,lh,0.1600867279656501,0.0134578941513008,0.0840662703418397,566,-0.023
OCDadults_casevsCN,L_isthmuscingulate,-0.02,5.553,,,1429,1491,0.593,0.894,lh,0.1325562515823995,0.0111435096810269,0.0840662703418397,566,-0.02
OCDadults_casevsCN,L_lateraloccipital,-0.045,17.391,,,1417,1479,0.232,0.787,lh,0.0874525302944431,0.0073518080538105,0.0840662703418397,566,-0.045
OCDadults_casevsCN,L_lateralorbitofrontal,-0.048,8.563,,,1431,1493,0.193,0.726,lh,0.1678207846915011,0.0141080674548554,0.0840662703418397,566,-0.048
OCDadults_casevsCN,L_lingual,-0.026,13.305,,,1425,1489,0.479,0.878,lh,0.1180788657866528,0.0099264498528785,0.0840662703418397,566,-0.026
OCDadults_casevsCN,L_medialorbitofrontal,-0.003,7.493,,,1428,1489,0.938,0.984,lh,0.2772285734046759,0.02330557219832,0.0840662703418397,566,
OCDadults_casevsCN,L_middletemporal,0.008,12.096,,,1319,1366,0.83,0.96,lh,0.1432600859199927,0.0120433411121452,0.0840662703418397,566,
OCDadults_casevsCN,L_parahippocampal,0.051,3.563,,,1422,1488,0.175,0.726,lh,0.253750614238687,0.0213318677359973,0.0840662703418397,566,0.051
OCDadults_casevsCN,L_paracentral,-0.016,5.992,,,1428,1489,0.672,0.896,lh,0.1580756850541815,0.0132888332742363,0.0840662703418397,566,-0.016
