SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
OCDadult_casevsCN,Laccumb,-0.041,0.04,-0.12,0.037,"1,446","1,465",0.305,,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,-0.041
OCDadult_casevsCN,Lamyg,-0.108,0.05,-0.206,0.01,"1,418","1,452",0.031,,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,-0.108
OCDadult_casevsCN,Lcaud,0.032,0.038,-0.043,0.107,"1,424","1,441",0.399,,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,0.032
OCDadult_casevsCN,Lhippo,-0.135,0.048,-0.229,0.04,"1,440","1,444",0.00508,,0.156646722485764,0.0131687057206513,0.0840662703418397,566,-0.135
OCDadult_casevsCN,Lpal,0.16,0.051,0.061,0.259,"1,312","1,336",0.0016,,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,0.16
OCDadult_casevsCN,Lput,0.017,0.044,-0.07,0.103,"1,335","1,365",0.704,,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,0.017
OCDadult_casevsCN,Lthal,-0.079,0.042,-0.162,0.005,"1,387","1,375",0.064,,0.1594777173659569,0.013406696901586,0.0840662703418397,566,-0.079
OCDadult_casevsCN,LLatVent,0.108,0.063,-0.016,0.231,"1,466","1,491",0.087,,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.108
OCDadult_casevsCN,Raccumb,-0.041,0.04,-0.12,0.037,"1,446","1,465",0.305,,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,-0.041
OCDadult_casevsCN,Ramyg,-0.108,0.05,-0.206,0.01,"1,418","1,452",0.031,,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,-0.108
OCDadult_casevsCN,Rcaud,0.032,0.038,-0.043,0.107,"1,424","1,441",0.399,,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,0.032
OCDadult_casevsCN,Rhippo,-0.135,0.048,-0.229,0.04,"1,440","1,444",0.00508,,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,-0.135
OCDadult_casevsCN,Rpal,0.16,0.051,0.061,0.259,"1,312","1,336",0.0016,,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,0.16
OCDadult_casevsCN,Rput,0.017,0.044,-0.07,0.103,"1,335","1,365",0.704,,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,0.017
OCDadult_casevsCN,Rthal,-0.079,0.042,-0.162,0.005,"1,387","1,375",0.064,,0.1615252968034185,0.013578829268122,0.0840662703418397,566,-0.079
OCDadult_casevsCN,RLatVent,0.108,0.063,-0.016,0.231,"1,466","1,491",0.087,,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.108
