CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
SCZ_case_vs_controls,L_bankssts,-0.352,0.04,,,5002,4343,5.96e-19,2.61e-18,lh,0.1677499689699687,0.0141021142412646,0.0840662703418397,566,-0.352
SCZ_case_vs_controls,L_caudalanteriorcingulate,-0.119,0.036,,,5053,4423,0.000897,0.000923,lh,0.218059913852788,0.0183314836686667,0.0840662703418397,566,-0.119
SCZ_case_vs_controls,L_caudalmiddlefrontal,-0.363,0.055,,,5053,4410,3.9500000000000006e-11,6.44e-11,lh,0.1754537886883238,0.0147497456323726,0.0840662703418397,566,-0.363
SCZ_case_vs_controls,L_cuneus,-0.203,0.045,,,5012,4354,4.92e-06,5.47e-06,lh,0.2156188068256477,0.0181262689053898,0.0840662703418397,566,-0.203
SCZ_case_vs_controls,L_entorhinal,-0.203,0.039,,,4942,4304,2.5e-07,3.02e-07,lh,0.3470851322603475,0.0291781525602315,0.0840662703418397,566,-0.203
SCZ_case_vs_controls,L_fusiform,-0.491,0.045,,,5012,4368,6.880000000000001e-28,1.6e-26,lh,0.2208815572798723,0.0185686887078163,0.0840662703418397,566,-0.491
SCZ_case_vs_controls,L_inferiorparietal,-0.362,0.047,,,4985,4308,1.91e-14,4.62e-14,lh,0.1391924238955952,0.011701387936743,0.0840662703418397,566,-0.362
SCZ_case_vs_controls,L_inferiortemporal,-0.449,0.048,,,5005,4344,4.920000000000001e-21,2.87e-20,lh,0.1933617196161122,0.0162551985950111,0.0840662703418397,566,-0.449
SCZ_case_vs_controls,L_isthmuscingulate,-0.309,0.05,,,5056,4421,5.98e-10,8.05e-10,lh,0.2217328411887773,0.0186402529710399,0.0840662703418397,566,-0.309
SCZ_case_vs_controls,L_lateraloccipital,-0.331,0.052,,,5026,4369,1.79e-10,2.56e-10,lh,0.150791017775439,0.0126764384654312,0.0840662703418397,566,-0.331
SCZ_case_vs_controls,L_lateralorbitofrontal,-0.3979999999999999,0.045,,,5056,4424,5.31e-19,2.48e-18,lh,0.2366271707244036,0.0198923637043423,0.0840662703418397,566,-0.3979999999999999
SCZ_case_vs_controls,L_lingual,-0.349,0.046,,,5048,4420,4.72e-14,1.0700000000000001e-13,lh,0.2512365800286637,0.0211205222564488,0.0840662703418397,566,-0.349
SCZ_case_vs_controls,L_medialorbitofrontal,-0.231,0.048,,,5040,4418,1.24e-06,1.4e-06,lh,0.2975518992888137,0.0250140784063412,0.0840662703418397,566,-0.231
SCZ_case_vs_controls,L_middletemporal,-0.444,0.054,,,4982,4305,1.38e-16,4.4000000000000005e-16,lh,0.1657611287649302,0.0139349198629211,0.0840662703418397,566,-0.444
SCZ_case_vs_controls,L_parahippocampal,-0.2769999999999999,0.042,,,5039,4403,5.81e-11,9.03e-11,lh,0.1422978600733205,0.011962450373989,0.0840662703418397,566,-0.2769999999999999
SCZ_case_vs_controls,L_paracentral,-0.253,0.04,,,5051,4421,3.2599999999999996e-10,4.56e-10,lh,0.2092279907162433,0.0175890168306316,0.0840662703418397,566,-0.253
SCZ_case_vs_controls,L_parsopercularis,-0.375,0.045,,,5041,4388,1.21e-16,4.04e-16,lh,0.1716496166533328,0.0144299430776522,0.0840662703418397,566,-0.375
SCZ_case_vs_controls,L_parsorbitalis,-0.319,0.047,,,5032,4392,1.46e-11,2.62e-11,lh,0.2587111955052084,0.0217488853018013,0.0840662703418397,566,-0.319
SCZ_case_vs_controls,L_parstriangularis,-0.341,0.046,,,5024,4372,8.64e-14,1.8900000000000003e-13,lh,0.1949399530679564,0.0163878747950363,0.0840662703418397,566,-0.341
SCZ_case_vs_controls,L_pericalcarine,-0.077,0.05,,,5054,4428,0.124,0.124,lh,0.2585784996498571,0.0217377300561521,0.0840662703418397,566,-0.077
SCZ_case_vs_controls,L_postcentral,-0.261,0.042,,,5041,4412,5.18e-10,7.109999999999998e-10,lh,0.199377733290489,0.0167609424269414,0.0840662703418397,566,-0.261
SCZ_case_vs_controls,L_posteriorcingulate,-0.298,0.031,,,5057,4424,6.76e-22,4.730000000000001e-21,lh,0.2106677030334901,0.0177100480755077,0.0840662703418397,566,-0.298
SCZ_case_vs_controls,L_precentral,-0.3429999999999999,0.044,,,5052,4408,8.679999999999999e-15,2.25e-14,lh,0.1935317282877348,0.0162694905899601,0.0840662703418397,566,-0.3429999999999999
SCZ_case_vs_controls,L_precuneus,-0.301,0.046,,,5040,4401,5.66e-11,9e-11,lh,0.126809392921902,0.0106603927072571,0.0840662703418397,566,-0.301
SCZ_case_vs_controls,L_rostralanteriorcingulate,-0.182,0.04,,,5047,4416,6.86e-06,7.51e-06,lh,0.2847491307873482,0.023937797408373,0.0840662703418397,566,-0.182
