Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.942,-0.004,-0.68,9.34,-19.0,17.65,-0.07,383,776,1159,area,HY1-vs-PD,L_bankssts,lh,0.1786116799446558,0.01049296279445775,0.0840662703418397,566,
R_bankssts,0.441,0.043,6.0,7.78,-9.27,21.26,0.66,417,813,1230,area,HY1-vs-PD,R_bankssts,rh,0.1825977843962243,0.010412929871493923,0.0840662703418397,566,0.043
L_caudalanteriorcingulate,0.352,0.053,7.04,7.56,-7.8,21.87,1.13,432,839,1271,area,HY1-vs-PD,L_caudalanteriorcingulate,lh,0.1683153490493292,0.00944236843790081,0.0840662703418397,566,0.053
R_caudalanteriorcingulate,0.562,0.033,5.16,8.91,-12.31,22.63,0.68,430,842,1272,area,HY1-vs-PD,R_caudalanteriorcingulate,rh,0.1383714680931598,0.007759486622747981,0.0840662703418397,566,0.033
L_caudalmiddlefrontal,0.178,0.076,25.8,19.14,-11.75,63.34,1.17,429,838,1267,area,HY1-vs-PD,L_caudalmiddlefrontal,lh,0.1391865515943926,0.007820580007182356,0.0840662703418397,566,0.076
R_caudalmiddlefrontal,0.665,0.025,8.44,19.5,-29.81,46.69,0.41,430,839,1269,area,HY1-vs-PD,R_caudalmiddlefrontal,rh,0.1657564399893244,0.009306140291077115,0.0840662703418397,566,0.025
L_cuneus,0.074,-0.106,-22.06,12.32,-46.23,2.11,-1.52,404,802,1206,area,HY1-vs-PD,L_cuneus,lh,0.1320470351444211,0.007604750956859839,0.0840662703418397,566,-0.106
R_cuneus,0.009,-0.155,-32.27,12.35,-56.5,-8.03,-2.14,400,770,1170,area,HY1-vs-PD,R_cuneus,rh,0.1359122118474259,0.007946859688169381,0.0840662703418397,566,-0.155
L_entorhinal,0.411,-0.048,-4.17,5.07,-14.13,5.78,-1.01,425,836,1261,area,HY1-vs-PD,L_entorhinal,lh,0.3530218209694457,0.019882637896125165,0.0840662703418397,566,-0.048
R_entorhinal,0.014,-0.141,-11.02,4.49,-19.82,-2.21,-3.09,419,823,1242,area,HY1-vs-PD,R_entorhinal,rh,0.3394861382835046,0.019265986154393396,0.0840662703418397,566,-0.141
L_frontalpole,0.001,-0.219,-8.25,1.98,-12.12,-4.37,-3.93,428,842,1270,area,HY1-vs-PD,L_frontalpole,lh,0.3878276705376012,0.0217654137280851,0.0840662703418397,566,-0.219
R_frontalpole,0.001,-0.169,-7.94,2.48,-12.81,-3.07,-2.87,429,843,1272,area,HY1-vs-PD,R_frontalpole,rh,0.4164824308930746,0.02335517499134004,0.0840662703418397,566,-0.169
L_fusiform,0.344,0.054,19.69,20.81,-21.15,60.52,0.63,425,841,1266,area,HY1-vs-PD,L_fusiform,lh,0.1480590464773536,0.00832239052343684,0.0840662703418397,566,0.054
R_fusiform,0.922,0.005,2.02,20.5,-38.21,42.24,0.07,430,842,1272,area,HY1-vs-PD,R_fusiform,rh,0.1441676106290709,0.00808451815627672,0.0840662703418397,566,
L_inferiorparietal,0.607,-0.029,-16.47,32.01,-79.28,46.34,-0.37,426,814,1240,area,HY1-vs-PD,L_inferiorparietal,lh,0.0921604482852544,0.005234361725312484,0.0840662703418397,566,-0.029
R_inferiorparietal,0.174,0.076,51.64,37.93,-22.78,126.07,0.99,421,830,1251,area,HY1-vs-PD,R_inferiorparietal,rh,0.0931743589228291,0.005268630651224792,0.0840662703418397,566,0.076
L_inferiortemporal,0.603,0.029,13.16,25.34,-36.55,62.87,0.41,409,803,1212,area,HY1-vs-PD,L_inferiortemporal,lh,0.1600867279656501,0.009196742225387454,0.0840662703418397,566,0.029
R_inferiortemporal,0.877,-0.009,-3.61,23.28,-49.28,42.06,-0.12,423,811,1234,area,HY1-vs-PD,R_inferiortemporal,rh,0.1463527859563971,0.008332463306604622,0.0840662703418397,566,-0.009
L_insula,0.914,-0.006,-1.37,12.69,-26.27,23.54,-0.06,430,832,1262,area,HY1-vs-PD,L_insula,lh,0.299847994886643,0.01688112816825615,0.0840662703418397,566,
R_insula,0.648,-0.025,-6.52,14.29,-34.56,21.52,-0.29,429,829,1258,area,HY1-vs-PD,R_insula,rh,0.374478321744222,0.0211162286956899,0.0840662703418397,566,-0.025
L_isthmuscingulate,0.102,0.091,15.34,9.38,-3.07,33.74,1.54,433,841,1274,area,HY1-vs-PD,L_isthmuscingulate,lh,0.1325562515823995,0.007427548499641423,0.0840662703418397,566,0.091
R_isthmuscingulate,0.189,0.072,11.21,8.53,-5.52,27.94,1.22,432,843,1275,area,HY1-vs-PD,R_isthmuscingulate,rh,0.1798584080766769,0.01007408587099013,0.0840662703418397,566,0.072
L_lateraloccipital,0.496,-0.038,-22.32,32.78,-86.63,41.99,-0.47,421,827,1248,area,HY1-vs-PD,L_lateraloccipital,lh,0.0874525302944431,0.004951024581511621,0.0840662703418397,566,-0.038
R_lateraloccipital,0.164,-0.078,-45.95,33.02,-110.73,18.84,-1.0,426,830,1256,area,HY1-vs-PD,R_lateraloccipital,rh,0.0883526703971253,0.0049860296441587805,0.0840662703418397,566,-0.078
L_lateralorbitofrontal,0.53,0.035,9.22,14.69,-19.6,38.04,0.37,426,840,1266,area,HY1-vs-PD,L_lateralorbitofrontal,lh,0.1678207846915011,0.00943319669673755,0.0840662703418397,566,0.035
R_lateralorbitofrontal,0.032,0.117,34.39,16.05,2.9,65.88,1.39,428,841,1269,area,HY1-vs-PD,R_lateralorbitofrontal,rh,0.338660973367915,0.01901359928746979,0.0840662703418397,566,0.117
L_lingual,0.32,0.056,23.46,23.6,-22.84,69.75,0.78,426,826,1252,area,HY1-vs-PD,L_lingual,lh,0.1180788657866528,0.006674212101364563,0.0840662703418397,566,0.056
R_lingual,0.693,-0.023,-9.31,23.57,-55.54,36.93,-0.31,418,801,1219,area,HY1-vs-PD,R_lingual,rh,0.120006334526438,0.006874360664187861,0.0840662703418397,566,-0.023
L_medialorbitofrontal,0.958,0.003,0.64,12.2,-23.3,24.59,0.04,425,830,1255,area,HY1-vs-PD,L_medialorbitofrontal,lh,0.2772285734046759,0.01565114528472213,0.0840662703418397,566,
R_medialorbitofrontal,0.708,-0.02,-3.91,10.43,-24.38,16.56,-0.22,425,833,1258,area,HY1-vs-PD,R_medialorbitofrontal,rh,0.2373507957582443,0.013383828631229444,0.0840662703418397,566,-0.02
L_middletemporal,0.1,-0.095,-35.15,21.35,-77.03,6.74,-1.18,386,782,1168,area,HY1-vs-PD,L_middletemporal,lh,0.1432600859199927,0.00838366240174609,0.0840662703418397,566,-0.095
R_middletemporal,0.744,-0.019,-6.89,21.07,-48.23,34.45,-0.21,417,812,1229,area,HY1-vs-PD,R_middletemporal,rh,0.1118631366940052,0.006381768517374038,0.0840662703418397,566,-0.019
L_paracentral,0.241,0.066,12.18,10.38,-8.19,32.54,0.92,432,840,1272,area,HY1-vs-PD,L_paracentral,lh,0.1580756850541815,0.008864444241740894,0.0840662703418397,566,0.066
