Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.003,-0.209,-35.13,11.77,-58.22,-12.05,-3.49,230,917,1147,area,HY2-vs-HY3,L_bankssts,lh,0.1786116799446558,0.010547709058895906,0.0840662703418397,566,-0.209
R_bankssts,0.002,-0.203,-31.58,10.27,-51.73,-11.44,-3.43,240,1004,1244,area,HY2-vs-HY3,R_bankssts,rh,0.1825977843962243,0.010354170426915629,0.0840662703418397,566,-0.203
L_caudalanteriorcingulate,0.04,-0.137,-20.94,10.19,-40.94,-0.95,-3.27,258,1045,1303,area,HY2-vs-HY3,L_caudalanteriorcingulate,lh,0.1683153490493292,0.009325701490526016,0.0840662703418397,566,-0.137
R_caudalanteriorcingulate,0.408,-0.055,-9.5,11.5,-32.06,13.05,-1.24,258,1043,1301,area,HY2-vs-HY3,R_caudalanteriorcingulate,rh,0.1383714680931598,0.007672517649273982,0.0840662703418397,566,-0.055
L_caudalmiddlefrontal,0.153,-0.094,-35.41,24.77,-84.01,13.18,-1.58,258,1050,1308,area,HY2-vs-HY3,L_caudalmiddlefrontal,lh,0.1391865515943926,0.007697033890912446,0.0840662703418397,566,-0.094
R_caudalmiddlefrontal,0.059,-0.127,-46.72,24.71,-95.19,1.76,-2.26,256,1050,1306,area,HY2-vs-HY3,R_caudalmiddlefrontal,rh,0.1657564399893244,0.00917336803783283,0.0840662703418397,566,-0.127
L_cuneus,0.81,-0.017,-3.71,15.39,-33.91,26.49,-0.26,225,980,1205,area,HY2-vs-HY3,L_cuneus,lh,0.1320470351444211,0.00760790580078599,0.0840662703418397,566,-0.017
R_cuneus,0.032,-0.152,-32.51,15.16,-62.25,-2.76,-2.2,230,950,1180,area,HY2-vs-HY3,R_cuneus,rh,0.1359122118474259,0.007913114908606607,0.0840662703418397,566,-0.152
L_entorhinal,0.631,-0.032,-3.15,6.56,-16.01,9.72,-0.76,258,1028,1286,area,HY2-vs-HY3,L_entorhinal,lh,0.3530218209694457,0.01968842892493307,0.0840662703418397,566,-0.032
R_entorhinal,0.134,-0.101,-9.21,6.14,-21.26,2.85,-2.58,245,998,1243,area,HY2-vs-HY3,R_entorhinal,rh,0.3394861382835046,0.01925823480177452,0.0840662703418397,566,-0.101
L_frontalpole,0.006,-0.166,-6.71,2.42,-11.47,-1.96,-3.27,260,1052,1312,area,HY2-vs-HY3,L_frontalpole,lh,0.3878276705376012,0.02141420075576005,0.0840662703418397,566,-0.166
R_frontalpole,0.135,-0.091,-4.72,3.15,-10.9,1.47,-1.7,259,1053,1312,area,HY2-vs-HY3,R_frontalpole,rh,0.4164824308930746,0.022996395213442017,0.0840662703418397,566,-0.091
L_fusiform,0.005,-0.181,-76.04,27.01,-129.04,-23.04,-2.42,254,1038,1292,area,HY2-vs-HY3,L_fusiform,lh,0.1480590464773536,0.0082382257181901,0.0840662703418397,566,-0.181
R_fusiform,0.006,-0.18,-75.71,27.41,-129.48,-21.95,-2.48,254,1045,1299,area,HY2-vs-HY3,R_fusiform,rh,0.1441676106290709,0.008000057727754653,0.0840662703418397,566,-0.18
L_inferiorparietal,0.007,-0.176,-111.35,41.05,-191.89,-30.81,-2.48,249,1015,1264,area,HY2-vs-HY3,L_inferiorparietal,lh,0.0921604482852544,0.005184430265482913,0.0840662703418397,566,-0.176
R_inferiorparietal,0.008,-0.176,-121.62,45.7,-211.29,-31.95,-2.29,252,1020,1272,area,HY2-vs-HY3,R_inferiorparietal,rh,0.0931743589228291,0.005224958595930017,0.0840662703418397,566,-0.176
L_inferiortemporal,0.048,-0.133,-63.4,31.97,-126.12,-0.69,-1.98,234,1022,1256,area,HY2-vs-HY3,L_inferiortemporal,lh,0.1600867279656501,0.009034216709980556,0.0840662703418397,566,-0.133
R_inferiortemporal,0.016,-0.159,-70.91,29.39,-128.57,-13.25,-2.32,242,1025,1267,area,HY2-vs-HY3,R_inferiortemporal,rh,0.1463527859563971,0.00822323463535071,0.0840662703418397,566,-0.159
L_insula,0.233,-0.072,-19.17,16.08,-50.72,12.38,-0.87,255,1052,1307,area,HY2-vs-HY3,L_insula,lh,0.299847994886643,0.016587974187452233,0.0840662703418397,566,-0.072
R_insula,0.052,-0.122,-36.94,18.99,-74.21,0.32,-1.63,256,1043,1299,area,HY2-vs-HY3,R_insula,rh,0.374478321744222,0.020780313821351173,0.0840662703418397,566,-0.122
L_isthmuscingulate,0.848,-0.012,-2.32,12.15,-26.15,21.51,-0.23,260,1052,1312,area,HY2-vs-HY3,L_isthmuscingulate,lh,0.1325562515823995,0.0073191945765028335,0.0840662703418397,566,-0.012
R_isthmuscingulate,0.643,-0.03,-5.05,10.87,-26.36,16.27,-0.53,257,1047,1304,area,HY2-vs-HY3,R_isthmuscingulate,rh,0.1798584080766769,0.009961435909853761,0.0840662703418397,566,-0.03
L_lateraloccipital,0.001,-0.208,-131.24,41.2,-212.07,-50.41,-2.79,248,1037,1285,area,HY2-vs-HY3,L_lateraloccipital,lh,0.0874525302944431,0.0048792246162398965,0.0840662703418397,566,-0.208
R_lateraloccipital,0.055,-0.128,-80.72,41.99,-163.11,1.66,-1.77,252,1036,1288,area,HY2-vs-HY3,R_lateraloccipital,rh,0.0883526703971253,0.004923701823516927,0.0840662703418397,566,-0.128
L_lateralorbitofrontal,0.42,-0.053,-15.44,19.15,-53.02,22.13,-0.61,260,1054,1314,area,HY2-vs-HY3,L_lateralorbitofrontal,lh,0.1678207846915011,0.009259297976037096,0.0840662703418397,566,-0.053
R_lateralorbitofrontal,0.178,-0.087,-28.16,20.91,-69.19,12.87,-1.13,258,1050,1308,area,HY2-vs-HY3,R_lateralorbitofrontal,rh,0.338660973367915,0.0187279946207623,0.0840662703418397,566,-0.087
L_lingual,0.608,-0.034,-15.62,30.46,-75.39,44.15,-0.53,243,1019,1262,area,HY2-vs-HY3,L_lingual,lh,0.1180788657866528,0.0066477165140302755,0.0840662703418397,566,-0.034
R_lingual,0.119,-0.103,-46.61,29.91,-105.29,12.07,-1.57,245,995,1240,area,HY2-vs-HY3,R_lingual,rh,0.120006334526438,0.006815901787890258,0.0840662703418397,566,-0.103
L_medialorbitofrontal,0.001,-0.217,-52.38,15.69,-83.16,-21.59,-2.86,256,1042,1298,area,HY2-vs-HY3,L_medialorbitofrontal,lh,0.2772285734046759,0.01538971720736365,0.0840662703418397,566,-0.217
R_medialorbitofrontal,0.104,-0.105,-22.74,13.99,-50.2,4.71,-1.26,256,1038,1294,area,HY2-vs-HY3,R_medialorbitofrontal,rh,0.2373507957582443,0.013196341613673314,0.0840662703418397,566,-0.105
L_middletemporal,0.021,-0.155,-62.68,27.03,-115.72,-9.65,-2.11,231,960,1191,area,HY2-vs-HY3,L_middletemporal,lh,0.1432600859199927,0.008302317202119755,0.0840662703418397,566,-0.155
