Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.656,0.053,8.27,18.53,-28.21,44.74,0.85,72,230,302,area,HY3-vs-HY4+5,L_bankssts,lh,0.1786116799446558,0.020555894471381477,0.0840662703418397,566,0.053
R_bankssts,0.672,-0.053,-7.02,16.57,-39.62,25.59,-0.81,77,240,317,area,HY3-vs-HY4+5,R_bankssts,rh,0.1825977843962243,0.020511426642727707,0.0840662703418397,566,-0.053
L_caudalanteriorcingulate,0.369,-0.114,-14.93,16.6,-47.59,17.74,-2.44,80,258,338,area,HY3-vs-HY4+5,L_caudalanteriorcingulate,lh,0.1683153490493292,0.018310296106240215,0.0840662703418397,566,-0.114
R_caudalanteriorcingulate,0.577,-0.07,-10.59,18.94,-47.86,26.68,-1.46,81,258,339,area,HY3-vs-HY4+5,R_caudalanteriorcingulate,rh,0.1383714680931598,0.015030613080781026,0.0840662703418397,566,-0.07
L_caudalmiddlefrontal,0.087,0.208,74.25,43.19,-10.73,159.23,3.41,81,258,339,area,HY3-vs-HY4+5,L_caudalmiddlefrontal,lh,0.1391865515943926,0.015119151598904649,0.0840662703418397,566,0.208
R_caudalmiddlefrontal,0.121,0.193,67.2,43.28,-17.95,152.36,3.32,80,256,336,area,HY3-vs-HY4+5,R_caudalmiddlefrontal,rh,0.1657564399893244,0.018085510313749626,0.0840662703418397,566,0.193
L_cuneus,0.101,0.222,42.51,25.83,-8.35,93.37,3.02,74,225,299,area,HY3-vs-HY4+5,L_cuneus,lh,0.1320470351444211,0.015272954429177922,0.0840662703418397,566,0.222
R_cuneus,0.552,0.079,15.5,26.02,-35.72,66.73,1.06,72,230,302,area,HY3-vs-HY4+5,R_cuneus,rh,0.1359122118474259,0.01564173790299386,0.0840662703418397,566,0.079
L_entorhinal,0.381,-0.102,-9.28,10.58,-30.09,11.53,-2.26,81,258,339,area,HY3-vs-HY4+5,L_entorhinal,lh,0.3530218209694457,0.03834702683426099,0.0840662703418397,566,-0.102
R_entorhinal,0.581,0.068,5.68,10.29,-14.56,25.92,1.6,81,245,326,area,HY3-vs-HY4+5,R_entorhinal,rh,0.3394861382835046,0.0376047964057724,0.0840662703418397,566,0.068
L_frontalpole,0.037,0.213,7.76,3.7,0.48,15.04,3.77,81,260,341,area,HY3-vs-HY4+5,L_frontalpole,lh,0.3878276705376012,0.04200409169213397,0.0840662703418397,566,0.213
R_frontalpole,0.437,0.087,4.18,5.37,-6.39,14.76,1.49,81,259,340,area,HY3-vs-HY4+5,R_frontalpole,rh,0.4164824308930746,0.04517386220353075,0.0840662703418397,566,0.087
L_fusiform,0.641,0.053,20.16,43.2,-64.84,105.16,0.66,81,254,335,area,HY3-vs-HY4+5,L_fusiform,lh,0.1480590464773536,0.01617865970272307,0.0840662703418397,566,0.053
R_fusiform,0.75,-0.04,-14.18,44.51,-101.76,73.39,-0.48,81,254,335,area,HY3-vs-HY4+5,R_fusiform,rh,0.1441676106290709,0.015753435997436185,0.0840662703418397,566,-0.04
L_inferiorparietal,0.983,-0.003,-1.51,71.94,-143.08,140.06,-0.04,79,249,328,area,HY3-vs-HY4+5,L_inferiorparietal,lh,0.0921604482852544,0.010177418947882617,0.0840662703418397,566,
R_inferiorparietal,0.955,0.007,4.57,80.71,-154.25,163.38,0.09,81,252,333,area,HY3-vs-HY4+5,R_inferiorparietal,rh,0.0931743589228291,0.010211846833159325,0.0840662703418397,566,
L_inferiortemporal,0.622,-0.06,-25.81,52.26,-128.67,77.04,-0.83,79,234,313,area,HY3-vs-HY4+5,L_inferiortemporal,lh,0.1600867279656501,0.018097273715123586,0.0840662703418397,566,-0.06
R_inferiortemporal,0.494,0.084,33.16,48.41,-62.12,128.43,1.12,80,242,322,area,HY3-vs-HY4+5,R_inferiortemporal,rh,0.1463527859563971,0.016311843792640838,0.0840662703418397,566,0.084
L_insula,0.843,-0.023,-6.02,30.42,-65.87,53.84,-0.27,81,255,336,area,HY3-vs-HY4+5,L_insula,lh,0.299847994886643,0.03271609841782793,0.0840662703418397,566,
R_insula,0.647,-0.053,-14.99,32.73,-79.39,49.41,-0.66,81,256,337,area,HY3-vs-HY4+5,R_insula,rh,0.374478321744222,0.04079826805196501,0.0840662703418397,566,-0.053
L_isthmuscingulate,0.538,0.075,12.52,20.33,-27.48,52.51,1.23,80,260,340,area,HY3-vs-HY4+5,L_isthmuscingulate,lh,0.1325562515823995,0.014377744171247445,0.0840662703418397,566,0.075
R_isthmuscingulate,0.066,0.213,33.59,18.2,-2.22,69.4,3.56,81,257,338,area,HY3-vs-HY4+5,R_isthmuscingulate,rh,0.1798584080766769,0.01956601538529778,0.0840662703418397,566,0.213
L_lateraloccipital,0.58,0.071,37.73,68.02,-96.12,171.58,0.82,76,248,324,area,HY3-vs-HY4+5,L_lateraloccipital,lh,0.0874525302944431,0.009716947810493677,0.0840662703418397,566,0.071
R_lateraloccipital,0.138,0.188,107.92,72.55,-34.84,250.68,2.38,78,252,330,area,HY3-vs-HY4+5,R_lateraloccipital,rh,0.0883526703971253,0.009727308865938741,0.0840662703418397,566,0.188
L_lateralorbitofrontal,0.203,-0.157,-42.07,33.01,-107.01,22.86,-1.68,81,260,341,area,HY3-vs-HY4+5,L_lateralorbitofrontal,lh,0.1678207846915011,0.01817601002593817,0.0840662703418397,566,-0.157
R_lateralorbitofrontal,0.745,-0.039,-11.87,36.46,-83.61,59.87,-0.48,80,258,338,area,HY3-vs-HY4+5,R_lateralorbitofrontal,rh,0.338660973367915,0.036841457044875306,0.0840662703418397,566,-0.039
L_lingual,0.607,0.068,24.79,48.2,-70.08,119.65,0.87,76,243,319,area,HY3-vs-HY4+5,L_lingual,lh,0.1180788657866528,0.013222294531221672,0.0840662703418397,566,0.068
R_lingual,0.26,0.147,53.86,47.74,-40.08,147.8,1.85,76,245,321,area,HY3-vs-HY4+5,R_lingual,rh,0.120006334526438,0.013396200850039395,0.0840662703418397,566,0.147
L_medialorbitofrontal,0.854,-0.022,-4.7,25.61,-55.08,45.68,-0.26,81,256,337,area,HY3-vs-HY4+5,L_medialorbitofrontal,lh,0.2772285734046759,0.030203205346431613,0.0840662703418397,566,
R_medialorbitofrontal,0.107,0.19,39.38,24.33,-8.49,87.26,2.18,81,256,337,area,HY3-vs-HY4+5,R_medialorbitofrontal,rh,0.2373507957582443,0.02585864341249137,0.0840662703418397,566,0.19
L_middletemporal,0.394,0.108,42.06,49.26,-54.9,139.01,1.46,75,231,306,area,HY3-vs-HY4+5,L_middletemporal,lh,0.1432600859199927,0.016379268028448666,0.0840662703418397,566,0.108
R_middletemporal,0.383,0.105,38.77,44.39,-48.58,126.13,1.22,80,251,331,area,HY3-vs-HY4+5,R_middletemporal,rh,0.1118631366940052,0.012297108127128602,0.0840662703418397,566,0.105
L_paracentral,0.889,0.016,3.26,23.43,-42.84,49.36,0.24,81,255,336,area,HY3-vs-HY4+5,L_paracentral,lh,0.1580756850541815,0.01724747124506634,0.0840662703418397,566,
R_paracentral,0.794,0.031,6.87,26.31,-44.9,58.65,0.44,81,254,335,area,HY3-vs-HY4+5,R_paracentral,rh,0.1558819207241439,0.017033478258881844,0.0840662703418397,566,0.031
L_parahippocampal,0.455,0.094,9.17,12.26,-14.95,33.28,1.4,81,259,340,area,HY3-vs-HY4+5,L_parahippocampal,lh,0.253750614238687,0.027523118459281792,0.0840662703418397,566,0.094
R_parahippocampal,0.463,0.093,8.42,11.44,-14.1,30.94,1.33,81,257,338,area,HY3-vs-HY4+5,R_parahippocampal,rh,0.2797618263430707,0.03043407454220286,0.0840662703418397,566,0.093
L_parsopercularis,0.673,0.052,11.87,28.06,-43.34,67.08,0.76,81,259,340,area,HY3-vs-HY4+5,L_parsopercularis,lh,0.141107643524262,0.015305272855714943,0.0840662703418397,566,0.052
R_parsopercularis,0.343,-0.12,-22.73,23.92,-69.8,24.34,-1.75,81,259,340,area,HY3-vs-HY4+5,R_parsopercularis,rh,0.172803742272672,0.0187431974619939,0.0840662703418397,566,-0.12
L_parsorbitalis,0.643,-0.054,-4.59,9.89,-24.05,14.86,-0.74,81,260,341,area,HY3-vs-HY4+5,L_parsorbitalis,lh,0.2067718729739145,0.02239464940629737,0.0840662703418397,566,-0.054
