Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.15,-0.162,-26.46,18.36,-62.57,9.65,-2.7,74,299,373,area,HY4+5-vs-PD,L_bankssts,lh,0.1786116799446558,0.01849632445558422,0.0840662703418397,566,-0.162
R_bankssts,0.105,-0.187,-26.81,16.51,-59.28,5.66,-3.01,79,317,396,area,HY4+5-vs-PD,R_bankssts,rh,0.1825977843962243,0.018351767830075392,0.0840662703418397,566,-0.187
L_caudalanteriorcingulate,0.451,-0.091,-11.67,15.48,-42.11,18.77,-1.92,82,325,407,area,HY4+5-vs-PD,L_caudalanteriorcingulate,lh,0.1683153490493292,0.016686164206528964,0.0840662703418397,566,-0.091
R_caudalanteriorcingulate,0.742,-0.038,-5.99,18.18,-41.74,29.77,-0.82,83,328,411,area,HY4+5-vs-PD,R_caudalanteriorcingulate,rh,0.1383714680931598,0.013650722352750659,0.0840662703418397,566,-0.038
L_caudalmiddlefrontal,0.543,-0.073,-23.2,38.09,-98.09,51.7,-1.06,82,327,409,area,HY4+5-vs-PD,L_caudalmiddlefrontal,lh,0.1391865515943926,0.013764664070207374,0.0840662703418397,566,-0.073
R_caudalmiddlefrontal,0.423,-0.095,-33.45,41.66,-115.36,48.47,-1.62,81,326,407,area,HY4+5-vs-PD,R_caudalmiddlefrontal,rh,0.1657564399893244,0.01643248338059133,0.0840662703418397,566,-0.095
L_cuneus,0.09,-0.211,-44.79,26.35,-96.61,7.03,-3.13,76,306,382,area,HY4+5-vs-PD,L_cuneus,lh,0.1320470351444211,0.013512228121236513,0.0840662703418397,566,-0.211
R_cuneus,0.007,-0.334,-69.19,25.43,-119.22,-19.15,-4.68,74,290,364,area,HY4+5-vs-PD,R_cuneus,rh,0.1359122118474259,0.014247471080499364,0.0840662703418397,566,-0.334
L_entorhinal,0.32,-0.122,-10.17,10.21,-30.25,9.9,-2.46,83,324,407,area,HY4+5-vs-PD,L_entorhinal,lh,0.3530218209694457,0.03499728400561765,0.0840662703418397,566,-0.122
R_entorhinal,0.757,-0.036,-2.96,9.55,-21.74,15.83,-0.86,83,316,399,area,HY4+5-vs-PD,R_entorhinal,rh,0.3394861382835046,0.0339911293288277,0.0840662703418397,566,-0.036
L_frontalpole,0.085,-0.179,-6.97,4.04,-14.91,0.97,-3.34,83,325,408,area,HY4+5-vs-PD,L_frontalpole,lh,0.3878276705376012,0.0384006615081173,0.0840662703418397,566,-0.179
R_frontalpole,0.507,0.074,3.51,5.28,-6.88,13.89,1.29,83,326,409,area,HY4+5-vs-PD,R_frontalpole,rh,0.4164824308930746,0.04118746162411199,0.0840662703418397,566,0.074
L_fusiform,0.028,-0.251,-90.07,40.88,-170.46,-9.69,-2.94,83,328,411,area,HY4+5-vs-PD,L_fusiform,lh,0.1480590464773536,0.014606428356419747,0.0840662703418397,566,-0.251
R_fusiform,0.001,-0.379,-139.17,41.83,-221.43,-56.91,-4.64,83,329,412,area,HY4+5-vs-PD,R_fusiform,rh,0.1441676106290709,0.014205256771581331,0.0840662703418397,566,-0.379
L_inferiorparietal,0.006,-0.32,-184.95,66.82,-316.36,-53.54,-4.17,81,312,393,area,HY4+5-vs-PD,L_inferiorparietal,lh,0.0921604482852544,0.009297759301131187,0.0840662703418397,566,-0.32
R_inferiorparietal,0.03,-0.249,-158.79,72.92,-302.19,-15.39,-3.04,83,321,404,area,HY4+5-vs-PD,R_inferiorparietal,rh,0.0931743589228291,0.00927119523021889,0.0840662703418397,566,-0.249
L_inferiortemporal,0.001,-0.405,-181.61,50.55,-281.03,-82.19,-5.73,81,315,396,area,HY4+5-vs-PD,L_inferiortemporal,lh,0.1600867279656501,0.016089321532659278,0.0840662703418397,566,-0.405
