Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.855,-0.008,-1.77,9.64,-20.68,17.14,-0.18,940,1069,2009,area,MoCA-vs-PD,L_bankssts,lh,0.1786116799446558,0.007969845135485883,0.0840662703418397,566,-0.008
R_bankssts,0.884,-0.006,-1.2,8.2,-17.27,14.88,-0.13,1005,1131,2136,area,MoCA-vs-PD,R_bankssts,rh,0.1825977843962243,0.007901778928616193,0.0840662703418397,566,
L_caudalanteriorcingulate,0.109,0.066,13.06,8.14,-2.91,29.03,2.09,1026,1168,2194,area,MoCA-vs-PD,L_caudalanteriorcingulate,lh,0.1683153490493292,0.007186797467624353,0.0840662703418397,566,0.066
R_caudalanteriorcingulate,0.569,-0.023,-5.38,9.43,-23.87,13.11,-0.71,1025,1172,2197,area,MoCA-vs-PD,R_caudalanteriorcingulate,rh,0.1383714680931598,0.005904206192557599,0.0840662703418397,566,-0.023
L_caudalmiddlefrontal,0.109,0.066,30.8,19.22,-6.9,68.49,1.39,1035,1165,2200,area,MoCA-vs-PD,L_caudalmiddlefrontal,lh,0.1391865515943926,0.005934934501398327,0.0840662703418397,566,0.066
R_caudalmiddlefrontal,0.538,0.026,11.94,19.38,-26.05,49.94,0.58,1035,1166,2201,area,MoCA-vs-PD,R_caudalmiddlefrontal,rh,0.1657564399893244,0.007066272560674669,0.0840662703418397,566,0.026
L_cuneus,0.396,-0.036,-10.13,11.93,-33.53,13.27,-0.7,939,1110,2049,area,MoCA-vs-PD,L_cuneus,lh,0.1320470351444211,0.00583428541188334,0.0840662703418397,566,-0.036
R_cuneus,0.014,-0.105,-30.82,12.5,-55.33,-6.3,-2.05,929,1063,1992,area,MoCA-vs-PD,R_cuneus,rh,0.1359122118474259,0.006090371842114408,0.0840662703418397,566,-0.105
L_entorhinal,0.195,0.054,6.77,5.22,-3.46,16.99,1.63,1017,1162,2179,area,MoCA-vs-PD,L_entorhinal,lh,0.3530218209694457,0.015125262874345395,0.0840662703418397,566,0.054
R_entorhinal,0.593,0.022,2.59,4.85,-6.93,12.11,0.73,1012,1143,2155,area,MoCA-vs-PD,R_entorhinal,rh,0.3394861382835046,0.014626095490675586,0.0840662703418397,566,0.022
L_frontalpole,0.444,-0.028,-1.54,2.02,-5.5,2.41,-0.73,1031,1169,2200,area,MoCA-vs-PD,L_frontalpole,lh,0.3878276705376012,0.016537027436228847,0.0840662703418397,566,-0.028
R_frontalpole,0.599,0.02,1.37,2.61,-3.74,6.48,0.5,1030,1171,2201,area,MoCA-vs-PD,R_frontalpole,rh,0.4164824308930746,0.017754835791673376,0.0840662703418397,566,0.02
L_fusiform,0.599,0.021,11.06,21.02,-30.17,52.29,0.35,1013,1170,2183,area,MoCA-vs-PD,L_fusiform,lh,0.1480590464773536,0.006337793371263114,0.0840662703418397,566,0.021
R_fusiform,0.11,-0.063,-32.71,20.44,-72.8,7.39,-1.07,1018,1171,2189,area,MoCA-vs-PD,R_fusiform,rh,0.1441676106290709,0.006162753763590916,0.0840662703418397,566,-0.063
L_inferiorparietal,0.485,-0.028,-22.44,32.16,-85.51,40.63,-0.5,1006,1127,2133,area,MoCA-vs-PD,L_inferiorparietal,lh,0.0921604482852544,0.00399097627916187,0.0840662703418397,566,-0.028
R_inferiorparietal,0.699,0.016,14.34,37.05,-58.31,87.0,0.27,1004,1153,2157,area,MoCA-vs-PD,R_inferiorparietal,rh,0.0931743589228291,0.004012373343002245,0.0840662703418397,566,0.016
L_inferiortemporal,0.453,-0.03,-19.03,25.39,-68.82,30.75,-0.59,991,1107,2098,area,MoCA-vs-PD,L_inferiortemporal,lh,0.1600867279656501,0.006990087012056856,0.0840662703418397,566,-0.03
R_inferiortemporal,0.627,-0.02,-11.28,23.18,-56.73,34.18,-0.37,1007,1128,2135,area,MoCA-vs-PD,R_inferiortemporal,rh,0.1463527859563971,0.006334787484399453,0.0840662703418397,566,-0.02
L_insula,0.044,0.075,26.28,13.05,0.68,51.87,1.2,1031,1160,2191,area,MoCA-vs-PD,L_insula,lh,0.299847994886643,0.012811794260825677,0.0840662703418397,566,0.075
R_insula,0.938,-0.003,-1.19,15.23,-31.06,28.68,-0.05,1028,1156,2184,area,MoCA-vs-PD,R_insula,rh,0.374478321744222,0.016026192700831735,0.0840662703418397,566,
L_isthmuscingulate,0.17,0.055,12.6,9.19,-5.42,30.62,1.26,1031,1171,2202,area,MoCA-vs-PD,L_isthmuscingulate,lh,0.1325562515823995,0.005649650119551206,0.0840662703418397,566,0.055
R_isthmuscingulate,0.728,0.014,2.97,8.56,-13.81,19.76,0.32,1031,1173,2204,area,MoCA-vs-PD,R_isthmuscingulate,rh,0.1798584080766769,0.007662225792428047,0.0840662703418397,566,0.014
L_lateraloccipital,0.114,-0.063,-51.56,32.62,-115.54,12.43,-1.09,1006,1151,2157,area,MoCA-vs-PD,L_lateraloccipital,lh,0.0874525302944431,0.003765973872942269,0.0840662703418397,566,-0.063
R_lateraloccipital,0.425,-0.032,-27.21,34.11,-94.1,39.68,-0.59,1007,1155,2162,area,MoCA-vs-PD,R_lateraloccipital,rh,0.0883526703971253,0.003800334560057613,0.0840662703418397,566,-0.032
L_lateralorbitofrontal,0.168,0.056,20.85,15.11,-8.79,50.49,0.82,1026,1168,2194,area,MoCA-vs-PD,L_lateralorbitofrontal,lh,0.1678207846915011,0.007165680356829101,0.0840662703418397,566,0.056
R_lateralorbitofrontal,0.02,0.093,38.82,16.73,6.01,71.63,1.57,1027,1170,2197,area,MoCA-vs-PD,R_lateralorbitofrontal,rh,0.338660973367915,0.014450408337000734,0.0840662703418397,566,0.093
L_lingual,0.463,-0.03,-17.56,23.89,-64.41,29.3,-0.59,998,1155,2153,area,MoCA-vs-PD,L_lingual,lh,0.1180788657866528,0.005089559004484097,0.0840662703418397,566,-0.03
R_lingual,0.2,-0.052,-30.9,24.12,-78.19,16.4,-1.02,981,1118,2099,area,MoCA-vs-PD,R_lingual,rh,0.120006334526438,0.005238753297802674,0.0840662703418397,566,-0.052
L_medialorbitofrontal,0.36,0.037,11.45,12.51,-13.07,35.98,0.63,1018,1160,2178,area,MoCA-vs-PD,L_medialorbitofrontal,lh,0.2772285734046759,0.011880618435946597,0.0840662703418397,566,0.037
R_medialorbitofrontal,0.361,0.036,10.1,11.06,-11.6,31.8,0.56,1021,1160,2181,area,MoCA-vs-PD,R_medialorbitofrontal,rh,0.2373507957582443,0.010164659966605889,0.0840662703418397,566,0.036
L_middletemporal,0.044,-0.083,-44.83,22.21,-88.38,-1.28,-1.49,943,1087,2030,area,MoCA-vs-PD,L_middletemporal,lh,0.1432600859199927,0.00635926882090693,0.0840662703418397,566,-0.083
R_middletemporal,0.846,-0.008,-4.22,21.82,-47.01,38.56,-0.13,1005,1136,2141,area,MoCA-vs-PD,R_middletemporal,rh,0.1118631366940052,0.004835135563735958,0.0840662703418397,566,-0.008
L_paracentral,0.01,0.106,25.7,10.02,6.05,45.36,1.93,1028,1169,2197,area,MoCA-vs-PD,L_paracentral,lh,0.1580756850541815,0.006744970270614769,0.0840662703418397,566,0.106
R_paracentral,0.506,0.027,7.95,11.94,-15.47,31.38,0.53,1026,1172,2198,area,MoCA-vs-PD,R_paracentral,rh,0.1558819207241439,0.006649850779781038,0.0840662703418397,566,0.027
L_parahippocampal,0.406,0.034,4.79,5.76,-6.5,16.08,0.71,1030,1170,2200,area,MoCA-vs-PD,L_parahippocampal,lh,0.253750614238687,0.010819962546272845,0.0840662703418397,566,0.034
R_parahippocampal,0.065,0.075,9.9,5.35,-0.6,20.4,1.51,1030,1173,2203,area,MoCA-vs-PD,R_parahippocampal,rh,0.2797618263430707,0.011920959199328977,0.0840662703418397,566,0.075
L_parsopercularis,0.819,0.009,3.15,13.72,-23.76,30.06,0.2,1025,1172,2197,area,MoCA-vs-PD,L_parsopercularis,lh,0.141107643524262,0.006020956734752909,0.0840662703418397,566,0.009
R_parsopercularis,0.272,-0.045,-12.98,11.82,-36.16,10.2,-0.96,1023,1168,2191,area,MoCA-vs-PD,R_parsopercularis,rh,0.172803742272672,0.00738349440800893,0.0840662703418397,566,-0.045
L_parsorbitalis,0.145,0.058,6.6,4.53,-2.29,15.5,1.07,1025,1171,2196,area,MoCA-vs-PD,L_parsorbitalis,lh,0.2067718729739145,0.008824808491153703,0.0840662703418397,566,0.058
R_parsorbitalis,0.053,0.078,11.05,5.71,-0.16,22.25,1.47,1024,1172,2196,area,MoCA-vs-PD,R_parsorbitalis,rh,0.1869218196284564,0.007977628858869035,0.0840662703418397,566,0.078
L_parstriangularis,0.073,0.075,18.66,10.4,-1.74,39.06,1.52,1023,1173,2196,area,MoCA-vs-PD,L_parstriangularis,lh,0.1342439775300349,0.005729393344242487,0.0840662703418397,566,0.075
R_parstriangularis,0.696,0.016,4.97,12.72,-19.98,29.93,0.35,1022,1170,2192,area,MoCA-vs-PD,R_parstriangularis,rh,0.1977247608861874,0.008446383179166485,0.0840662703418397,566,0.016
L_pericalcarine,0.544,-0.025,-8.97,14.77,-37.94,20.01,-0.66,940,1113,2053,area,MoCA-vs-PD,L_pericalcarine,lh,0.1515153742526108,0.006687937777036751,0.0840662703418397,566,-0.025
R_pericalcarine,0.07,-0.077,-27.99,15.44,-58.26,2.29,-1.89,912,1044,1956,area,MoCA-vs-PD,R_pericalcarine,rh,0.1651985256525704,0.0074705355624987285,0.0840662703418397,566,-0.077
L_postcentral,0.272,-0.046,-26.23,23.86,-73.03,20.56,-0.63,995,1132,2127,area,MoCA-vs-PD,L_postcentral,lh,0.1565426209458112,0.0067885786120752255,0.0840662703418397,566,-0.046
R_postcentral,0.265,-0.047,-26.47,23.73,-73.0,20.06,-0.67,996,1136,2132,area,MoCA-vs-PD,R_postcentral,rh,0.2003338837533729,0.008677423747216775,0.0840662703418397,566,-0.047
L_posteriorcingulate,0.452,0.031,8.42,11.21,-13.56,30.4,0.74,1032,1169,2201,area,MoCA-vs-PD,L_posteriorcingulate,lh,0.1439203019218107,0.00613538804561442,0.0840662703418397,566,0.031
R_posteriorcingulate,0.968,0.002,0.41,10.11,-19.41,20.23,0.04,1031,1172,2203,area,MoCA-vs-PD,R_posteriorcingulate,rh,0.162336046691134,0.00691731754285963,0.0840662703418397,566,
L_precentral,0.623,-0.02,-12.99,26.45,-64.87,38.88,-0.27,1018,1126,2144,area,MoCA-vs-PD,L_precentral,lh,0.1234912044252991,0.005334007617001451,0.0840662703418397,566,-0.02
R_precentral,0.148,0.06,38.56,26.66,-13.72,90.83,0.8,1021,1134,2155,area,MoCA-vs-PD,R_precentral,rh,0.1560208692246287,0.006721853632539044,0.0840662703418397,566,0.06
L_precuneus,0.993,0.001,0.21,23.99,-46.83,47.25,0.01,1033,1171,2204,area,MoCA-vs-PD,L_precuneus,lh,0.115806001618221,0.004933501536046128,0.0840662703418397,566,
R_precuneus,0.043,0.081,50.73,25.06,1.59,99.87,1.33,1032,1172,2204,area,MoCA-vs-PD,R_precuneus,rh,0.114700935562511,0.004886424139304198,0.0840662703418397,566,0.081
L_rostralanteriorcingulate,0.262,0.046,10.38,9.24,-7.74,28.5,1.26,1022,1141,2163,area,MoCA-vs-PD,L_rostralanteriorcingulate,lh,0.1985332985113387,0.008537586053584591,0.0840662703418397,566,0.046
R_rostralanteriorcingulate,0.387,-0.033,-6.9,7.98,-22.55,8.75,-1.03,1025,1157,2182,area,MoCA-vs-PD,R_rostralanteriorcingulate,rh,0.1753326949058068,0.007506984697851209,0.0840662703418397,566,-0.033
L_rostralmiddlefrontal,0.404,-0.033,-31.04,37.15,-103.89,41.81,-0.57,1026,1171,2197,area,MoCA-vs-PD,L_rostralmiddlefrontal,lh,0.1574330702065638,0.006717550379686248,0.0840662703418397,566,-0.033
R_rostralmiddlefrontal,0.623,-0.019,-19.16,39.0,-95.64,57.31,-0.34,1026,1168,2194,area,MoCA-vs-PD,R_rostralmiddlefrontal,rh,0.1875342156885125,0.008007412479108614,0.0840662703418397,566,-0.019
L_superiorfrontal,0.857,0.007,7.25,40.2,-71.58,86.08,0.1,1013,1149,2162,area,MoCA-vs-PD,L_superiorfrontal,lh,0.1296969686255579,0.00557868675600837,0.0840662703418397,566,0.007
