Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.923,-0.003,-0.56,5.76,-11.86,10.75,-0.056,2059,1069,3128,area,all,L_bankssts,lh,0.1786116799446558,0.006387140634847882,0.0840662703418397,566,
R_bankssts,0.28,0.036,5.25,4.86,-4.29,14.79,0.577,2209,1131,3340,area,all,R_bankssts,rh,0.1825977843962243,0.006319056897950275,0.0840662703418397,566,0.036
L_caudalanteriorcingulate,0.138,0.051,7.21,4.85,-2.31,16.72,1.156,2296,1168,3464,area,all,L_caudalanteriorcingulate,lh,0.1683153490493292,0.005719588391575941,0.0840662703418397,566,0.051
R_caudalanteriorcingulate,0.566,0.019,3.19,5.56,-7.71,14.08,0.425,2291,1172,3463,area,all,R_caudalanteriorcingulate,rh,0.1383714680931598,0.004702732745181608,0.0840662703418397,566,0.019
L_caudalmiddlefrontal,0.261,0.039,13.4,11.92,-9.98,36.78,0.605,2297,1165,3462,area,all,L_caudalmiddlefrontal,lh,0.1391865515943926,0.004731117553405979,0.0840662703418397,566,0.039
R_caudalmiddlefrontal,0.96,-0.002,-0.62,12.13,-24.4,23.17,-0.03,2301,1166,3467,area,all,R_caudalmiddlefrontal,rh,0.1657564399893244,0.005630195631868544,0.0840662703418397,566,
L_cuneus,0.002,-0.112,-23.49,7.5,-38.19,-8.79,-1.62,2142,1110,3252,area,all,L_cuneus,lh,0.1320470351444211,0.004631091711825169,0.0840662703418397,566,-0.112
R_cuneus,0.002,-0.113,-23.57,7.55,-38.38,-8.76,-1.572,2106,1063,3169,area,all,R_cuneus,rh,0.1359122118474259,0.004828668114291964,0.0840662703418397,566,-0.113
L_entorhinal,0.446,-0.026,-2.42,3.18,-8.65,3.81,-0.586,2260,1162,3422,area,all,L_entorhinal,lh,0.3530218209694457,0.012069562941441125,0.0840662703418397,566,-0.026
R_entorhinal,0.146,-0.051,-4.25,2.92,-9.97,1.48,-1.187,2204,1143,3347,area,all,R_entorhinal,rh,0.3394861382835046,0.01173611038323912,0.0840662703418397,566,-0.051
L_frontalpole,0.001,-0.167,-6.53,1.2,-8.89,-4.17,-3.081,2307,1169,3476,area,all,L_frontalpole,lh,0.3878276705376012,0.013156152635505758,0.0840662703418397,566,-0.167
R_frontalpole,0.185,-0.043,-2.04,1.54,-5.05,0.98,-0.734,2308,1171,3479,area,all,R_frontalpole,rh,0.4164824308930746,0.014122105998396856,0.0840662703418397,566,-0.043
