Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,NAVR,NAVRcorrected,correction,populationsize,NAVR_corrected,Cohen_d_thresholded
Lamyg,0.001,-0.159,-44.62,11.07,-66.34,-22.91,-2.99,927,894,1821,subcortical_volume,HY2-vs-PD,Lamyg,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,0.010670446530740483,-0.159
Ramyg,0.002,-0.119,-36.37,11.66,-59.24,-13.51,-2.28,924,891,1815,subcortical_volume,HY2-vs-PD,Ramyg,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,0.009359902742381828,-0.119
Lcaud,0.006,-0.113,-61.99,22.67,-106.45,-17.53,-1.8,929,895,1824,subcortical_volume,HY2-vs-PD,Lcaud,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,0.004834822107209636,-0.113
Rcaud,0.066,-0.075,-41.79,22.71,-86.33,2.74,-1.2,925,904,1829,subcortical_volume,HY2-vs-PD,Rcaud,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,0.006850834555142531,-0.075
Lpal,0.064,-0.074,-23.72,12.81,-48.84,1.39,-1.6,893,812,1705,subcortical_volume,HY2-vs-PD,Lpal,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,0.009861834431292184,-0.074
Rpal,0.429,-0.031,-9.04,11.44,-31.48,13.39,-0.61,919,880,1799,subcortical_volume,HY2-vs-PD,Rpal,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,0.010991218849842084,-0.031
Lhippo,0.225,-0.049,-29.14,23.99,-76.2,17.91,-0.74,915,882,1797,subcortical_volume,HY2-vs-PD,Lhippo,0.156646722485764,0.0131687057206513,0.0840662703418397,566,0.007325621157850551,-0.049
Rhippo,0.305,-0.04,-24.39,23.8,-71.07,22.28,-0.6,922,888,1810,subcortical_volume,HY2-vs-PD,Rhippo,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,0.0059615389745833625,-0.04
LLatVent,0.165,0.062,489.92,352.6,-201.64,1181.47,3.69,937,902,1839,subcortical_volume,HY2-vs-PD,LLatVent,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.0005399207675586539,0.062
RLatVent,0.089,0.076,543.48,319.86,-83.85,1170.81,4.47,937,903,1840,subcortical_volume,HY2-vs-PD,RLatVent,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.000607243852265543,0.076
Laccumb,0.124,-0.062,-8.85,5.75,-20.13,2.43,-1.85,926,895,1821,subcortical_volume,HY2-vs-PD,Laccumb,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,0.012751173600022283,-0.062
Raccumb,0.138,-0.059,-8.0,5.39,-18.56,2.57,-1.62,919,886,1805,subcortical_volume,HY2-vs-PD,Raccumb,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,0.010714995348297701,-0.059
Lput,0.001,-0.152,-123.03,33.36,-188.46,-57.61,-2.45,904,823,1727,subcortical_volume,HY2-vs-PD,Lput,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,0.006413302263642884,-0.152
Rput,0.001,-0.152,-119.63,31.18,-180.78,-58.48,-2.49,926,866,1792,subcortical_volume,HY2-vs-PD,Rput,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,0.008199161759010178,-0.152
Lthal,0.045,0.075,82.32,41.06,1.79,162.86,1.15,892,865,1757,subcortical_volume,HY2-vs-PD,Lthal,0.1594777173659569,0.013406696901586,0.0840662703418397,566,0.007497055383091443,0.075
Rthal,0.188,0.052,46.04,34.93,-22.46,114.54,0.69,911,878,1789,subcortical_volume,HY2-vs-PD,Rthal,0.1615252968034185,0.013578829268122,0.0840662703418397,566,0.007637748843412029,0.052
