Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,NAVR,NAVRcorrected,correction,populationsize,NAVR_corrected,Cohen_d_thresholded
Lamyg,0.001,-0.64,-163.65,27.08,-216.9,-110.39,-11.61,83,323,406,subcortical_volume,HY4+5-vs-PD,Lamyg,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,0.02258881231528726,-0.64
Ramyg,0.001,-0.554,-154.92,28.86,-211.68,-98.16,-9.98,83,322,405,subcortical_volume,HY4+5-vs-PD,Ramyg,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,0.019804292709611624,-0.554
Lcaud,0.002,-0.329,-177.27,56.29,-287.96,-66.58,-5.2,82,327,409,subcortical_volume,HY4+5-vs-PD,Lcaud,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,0.010210129776354958,-0.329
Rcaud,0.032,-0.223,-124.57,57.82,-238.27,-10.87,-3.62,81,329,410,subcortical_volume,HY4+5-vs-PD,Rcaud,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,0.014508931680907463,-0.223
Lpal,0.002,-0.317,-102.32,32.14,-165.54,-39.09,-6.97,83,292,375,subcortical_volume,HY4+5-vs-PD,Lpal,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,0.021019660424798806,-0.317
Rpal,0.011,-0.261,-83.0,32.28,-146.49,-19.51,-5.67,82,314,396,subcortical_volume,HY4+5-vs-PD,Rpal,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,0.023470296864284958,-0.261
Lhippo,0.001,-0.546,-257.72,55.09,-366.06,-149.37,-6.82,81,318,399,subcortical_volume,HY4+5-vs-PD,Lhippo,0.156646722485764,0.0131687057206513,0.0840662703418397,566,0.015472460401734387,-0.546
Rhippo,0.001,-0.616,-318.63,58.09,-432.87,-204.39,-8.11,82,318,400,subcortical_volume,HY4+5-vs-PD,Rhippo,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,0.012648085839483977,-0.616
LLatVent,0.002,0.357,2761.46,885.08,1021.08,4501.84,18.43,83,329,412,subcortical_volume,HY4+5-vs-PD,LLatVent,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.00115126841594955,0.357
RLatVent,0.001,0.523,3724.85,814.85,2122.56,5327.15,27.8,83,328,411,subcortical_volume,HY4+5-vs-PD,RLatVent,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.0013014136963373083,0.523
Laccumb,0.007,-0.294,-39.29,14.46,-67.71,-10.86,-8.58,82,324,406,subcortical_volume,HY4+5-vs-PD,Laccumb,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,0.027004871468577614,-0.294
Raccumb,0.001,-0.473,-59.94,13.14,-85.79,-34.1,-12.46,81,320,401,subcortical_volume,HY4+5-vs-PD,Raccumb,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,0.02263780128932268,-0.473
Lput,0.001,-0.423,-314.82,78.06,-468.37,-161.27,-6.43,80,296,376,subcortical_volume,HY4+5-vs-PD,Lput,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,0.013610350193818335,-0.423
Rput,0.001,-0.473,-350.88,77.4,-503.1,-198.66,-7.47,82,311,393,subcortical_volume,HY4+5-vs-PD,Rput,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,0.017380687719308167,-0.473
Lthal,0.027,-0.223,-203.27,91.7,-383.62,-22.92,-2.99,81,310,391,subcortical_volume,HY4+5-vs-PD,Lthal,0.1594777173659569,0.013406696901586,0.0840662703418397,566,0.01594777173659569,-0.223
Rthal,0.029,-0.22,-178.29,81.16,-337.9,-18.68,-2.77,82,317,399,subcortical_volume,HY4+5-vs-PD,Rthal,0.1615252968034185,0.013578829268122,0.0840662703418397,566,0.016172758278976407,-0.22
