Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,NAVR,NAVRcorrected,correction,populationsize,NAVR_corrected,Cohen_d_thresholded
Lamyg,0.002,-0.11,-41.39,13.56,-67.99,-14.79,-2.78,1047,0,1047,subcortical_volume,MoCA-vs-PD,Lamyg,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,0.014035670509432985,-0.11
Ramyg,0.211,-0.044,-17.61,14.09,-45.24,10.02,-1.11,1049,0,1049,subcortical_volume,MoCA-vs-PD,Ramyg,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,0.01238451175064266,-0.044
Lcaud,0.754,0.012,9.0,28.71,-47.29,65.3,0.26,1044,0,1044,subcortical_volume,MoCA-vs-PD,Lcaud,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,0.006390615183517676,0.012
Rcaud,0.603,0.02,15.28,29.35,-42.28,72.84,0.44,1045,0,1045,subcortical_volume,MoCA-vs-PD,Rcaud,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,0.009030625057599197,0.02
Lpal,0.027,0.073,34.92,15.81,3.92,65.92,2.33,1023,0,1023,subcortical_volume,MoCA-vs-PD,Lpal,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,0.012970497041809251,0.073
Rpal,0.016,0.081,34.93,14.44,6.61,63.25,2.3,1040,0,1040,subcortical_volume,MoCA-vs-PD,Rpal,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,0.014434677463965793,0.081
Lhippo,0.37,0.033,24.94,27.79,-29.55,79.43,0.64,1033,0,1033,subcortical_volume,MoCA-vs-PD,Lhippo,0.156646722485764,0.0131687057206513,0.0840662703418397,566,0.009691548266951398,0.033
Rhippo,0.964,0.002,1.29,28.57,-54.75,57.32,0.03,1046,0,1046,subcortical_volume,MoCA-vs-PD,Rhippo,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,0.007820044899323815,
LLatVent,0.945,0.003,28.59,414.9,-785.06,842.25,0.21,1051,0,1051,subcortical_volume,MoCA-vs-PD,LLatVent,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.0006970347136753974,0.003
RLatVent,0.319,0.041,376.05,376.93,-363.14,1115.23,3.04,1051,0,1051,subcortical_volume,MoCA-vs-PD,RLatVent,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.0007886046202375125,0.041
Laccumb,0.097,-0.059,-11.72,7.06,-25.56,2.13,-2.45,1048,0,1048,subcortical_volume,MoCA-vs-PD,Laccumb,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,0.016816352041984818,-0.059
Raccumb,0.614,-0.019,-3.38,6.69,-16.49,9.74,-0.68,1049,0,1049,subcortical_volume,MoCA-vs-PD,Raccumb,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,0.014173643121189862,-0.019
Lput,0.015,-0.089,-94.81,39.06,-171.41,-18.2,-1.88,1024,0,1024,subcortical_volume,MoCA-vs-PD,Lput,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,0.00845873826162356,-0.089
Rput,0.006,-0.102,-103.34,37.67,-177.21,-29.47,-2.13,1039,0,1039,subcortical_volume,MoCA-vs-PD,Rput,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,0.010819563800843096,-0.102
Lthal,0.004,0.098,133.47,46.19,42.89,224.05,1.86,1009,0,1009,subcortical_volume,MoCA-vs-PD,Lthal,0.1594777173659569,0.013406696901586,0.0840662703418397,566,0.009861981063758697,0.098
Rthal,0.025,0.08,87.5,39.06,10.9,164.1,1.31,1023,0,1023,subcortical_volume,MoCA-vs-PD,Rthal,0.1615252968034185,0.013578829268122,0.0840662703418397,566,0.010100264024390387,0.08
