Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,NAVR,NAVRcorrected,correction,populationsize,NAVR_corrected,Cohen_d_thresholded
Lamyg,0.001,-0.13,-33.64,7.99,-49.3,-17.97,-2.267,2284,1158,3442,subcortical_volume,all,Lamyg,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,0.007760872516263523,-0.13
Ramyg,0.011,-0.077,-21.25,8.35,-37.63,-4.86,-1.338,2279,1152,3431,subcortical_volume,all,Ramyg,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,0.006773937303108865,-0.077
Lcaud,0.028,-0.071,-37.44,16.99,-70.75,-4.13,-1.083,2312,1162,3474,subcortical_volume,all,Lcaud,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,0.0035033054861707573,-0.071
Rcaud,0.295,-0.033,-17.78,16.99,-51.08,15.52,-0.506,2319,1173,3492,subcortical_volume,all,Rcaud,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,0.004970045940158908,-0.033
Lpal,0.026,-0.066,-21.63,9.74,-40.73,-2.52,-1.42,2177,1063,3240,subcortical_volume,all,Lpal,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,0.007183058340045578,-0.066
Rpal,0.069,-0.053,-15.82,8.69,-32.85,1.21,-1.032,2248,1143,3391,subcortical_volume,all,Rpal,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,0.008032830364857451,-0.053
Lhippo,0.529,-0.02,-10.54,16.75,-43.38,22.29,-0.268,2265,1141,3406,subcortical_volume,all,Lhippo,0.156646722485764,0.0131687057206513,0.0840662703418397,566,0.005301688298555691,-0.02
Rhippo,0.314,-0.031,-17.25,17.13,-50.84,16.34,-0.425,2302,1151,3453,subcortical_volume,all,Rhippo,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,0.004336667556875008,-0.031
LLatVent,0.174,0.047,343.41,252.63,-151.91,838.74,2.613,2342,1169,3511,subcortical_volume,all,LLatVent,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.00039166946889703614,0.047
RLatVent,0.028,0.077,511.96,233.14,54.86,969.05,4.243,2343,1170,3513,subcortical_volume,all,RLatVent,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.0004439569064152031,0.077
Laccumb,0.363,-0.028,-3.65,4.02,-11.53,4.22,-0.768,2302,1158,3460,subcortical_volume,all,Laccumb,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,0.009274696317481899,-0.028
Raccumb,0.098,-0.052,-6.39,3.86,-13.95,1.18,-1.283,2264,1147,3411,subcortical_volume,all,Raccumb,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,0.0077547434873377185,-0.052
Lput,0.001,-0.136,-101.89,24.2,-149.34,-54.44,-2.031,2163,1068,3231,subcortical_volume,all,Lput,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,0.004658364052435519,-0.136
Rput,0.001,-0.135,-96.94,22.76,-141.56,-52.31,-2.014,2230,1125,3355,subcortical_volume,all,Rput,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,0.005966465647526178,-0.135
Lthal,0.001,0.131,127.97,28.29,72.5,183.44,1.785,2193,1125,3318,subcortical_volume,all,Lthal,0.1594777173659569,0.013406696901586,0.0840662703418397,566,0.00542789849367488,0.131
Rthal,0.009,0.078,61.44,23.45,15.46,107.42,0.918,2263,1139,3402,subcortical_volume,all,Rthal,0.1615252968034185,0.013578829268122,0.0840662703418397,566,0.005538643200086367,0.078
