Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.156,-0.071,-0.017,0.012,-0.041,0.007,-0.746,383,784,1167,thickness,HY1-vs-PD,L_bankssts,lh,0.1679100593637136,0.009830402108048043,0.0827605888602368,584,-0.071
R_bankssts,0.013,-0.118,-0.03,0.012,-0.053,-0.006,-1.233,418,810,1228,thickness,HY1-vs-PD,R_bankssts,rh,0.1534593994993605,0.008758390541003736,0.0827605888602368,584,-0.118
L_caudalanteriorcingulate,0.594,-0.028,-0.009,0.017,-0.043,0.025,-0.356,433,840,1273,thickness,HY1-vs-PD,L_caudalanteriorcingulate,lh,0.2181119375336781,0.012226305111043447,0.0827605888602368,584,-0.028
R_caudalanteriorcingulate,0.638,-0.024,-0.007,0.015,-0.036,0.022,-0.284,431,843,1274,thickness,HY1-vs-PD,R_caudalanteriorcingulate,rh,0.2345456463717201,0.01314233876568828,0.0827605888602368,584,-0.024
L_caudalmiddlefrontal,0.002,-0.16,-0.031,0.01,-0.05,-0.011,-1.284,430,840,1270,thickness,HY1-vs-PD,L_caudalmiddlefrontal,lh,0.1753441914871878,0.009840553324224975,0.0827605888602368,584,-0.16
R_caudalmiddlefrontal,0.302,-0.054,-0.011,0.01,-0.031,0.01,-0.447,430,840,1270,thickness,HY1-vs-PD,R_caudalmiddlefrontal,rh,0.1700381669057965,0.009542772043932923,0.0827605888602368,584,-0.054
L_cuneus,0.061,-0.089,-0.016,0.009,-0.033,0.001,-0.913,404,807,1211,thickness,HY1-vs-PD,L_cuneus,lh,0.2145175843375185,0.012328800409512139,0.0827605888602368,584,-0.089
R_cuneus,0.005,-0.121,-0.025,0.009,-0.043,-0.008,-1.403,400,785,1185,thickness,HY1-vs-PD,R_cuneus,rh,0.2110250670946185,0.012260406439018165,0.0827605888602368,584,-0.121
L_entorhinal,0.516,-0.034,-0.014,0.021,-0.056,0.028,-0.426,425,837,1262,thickness,HY1-vs-PD,L_entorhinal,lh,0.347724072261647,0.01957650119773507,0.0827605888602368,584,-0.034
R_entorhinal,0.415,-0.035,-0.018,0.022,-0.061,0.025,-0.526,418,825,1243,thickness,HY1-vs-PD,R_entorhinal,rh,0.3352087278490374,0.01901558756172215,0.0827605888602368,584,-0.035
L_frontalpole,0.623,0.026,0.008,0.017,-0.025,0.042,0.318,429,841,1270,thickness,HY1-vs-PD,L_frontalpole,lh,0.3407844666065796,0.019125285458655463,0.0827605888602368,584,0.026
R_frontalpole,0.389,-0.046,-0.014,0.017,-0.047,0.018,-0.553,430,843,1273,thickness,HY1-vs-PD,R_frontalpole,rh,0.3308039802832321,0.01854327846803843,0.0827605888602368,584,-0.046
L_fusiform,0.001,-0.16,-0.034,0.01,-0.053,-0.015,-1.313,426,841,1267,thickness,HY1-vs-PD,L_fusiform,lh,0.2199788565103603,0.012360118326956727,0.0827605888602368,584,-0.16
R_fusiform,0.02,-0.097,-0.028,0.012,-0.051,-0.004,-1.053,430,843,1273,thickness,HY1-vs-PD,R_fusiform,rh,0.2034578796835348,0.011404869180407742,0.0827605888602368,584,-0.097
L_inferiorparietal,0.003,-0.147,-0.028,0.009,-0.046,-0.01,-1.217,426,815,1241,thickness,HY1-vs-PD,L_inferiorparietal,lh,0.1388691826870925,0.007884061155698141,0.0827605888602368,584,-0.147
R_inferiorparietal,0.001,-0.217,-0.045,0.009,-0.063,-0.026,-1.906,421,830,1251,thickness,HY1-vs-PD,R_inferiorparietal,rh,0.1402146441904612,0.00792856726542435,0.0827605888602368,584,-0.217
L_inferiortemporal,0.001,-0.182,-0.038,0.01,-0.058,-0.018,-1.433,409,804,1213,thickness,HY1-vs-PD,L_inferiortemporal,lh,0.1931727905328623,0.011092911516376138,0.0827605888602368,584,-0.182
R_inferiortemporal,0.003,-0.131,-0.03,0.01,-0.05,-0.01,-1.121,423,812,1235,thickness,HY1-vs-PD,R_inferiortemporal,rh,0.1804525516817452,0.01026974226459574,0.0827605888602368,584,-0.131
L_insula,0.987,0.001,0.001,0.011,-0.022,0.022,0.006,430,840,1270,thickness,HY1-vs-PD,L_insula,lh,0.2981904866965747,0.016734853662538643,0.0827605888602368,584,
R_insula,0.271,-0.052,-0.013,0.012,-0.037,0.01,-0.459,429,835,1264,thickness,HY1-vs-PD,R_insula,rh,0.3167477759911346,0.017818454520642603,0.0827605888602368,584,-0.052
L_isthmuscingulate,0.008,-0.14,-0.034,0.013,-0.06,-0.009,-1.451,433,843,1276,thickness,HY1-vs-PD,L_isthmuscingulate,lh,0.2212486498239776,0.012387546209553936,0.0827605888602368,584,-0.14
R_isthmuscingulate,0.002,-0.151,-0.038,0.012,-0.062,-0.013,-1.608,432,846,1278,thickness,HY1-vs-PD,R_isthmuscingulate,rh,0.2184653938129115,0.012222139061382678,0.0827605888602368,584,-0.151
L_lateraloccipital,0.002,-0.157,-0.028,0.009,-0.045,-0.01,-1.314,420,827,1247,thickness,HY1-vs-PD,L_lateraloccipital,lh,0.1493056868036902,0.00845615857472928,0.0827605888602368,584,-0.157
R_lateraloccipital,0.001,-0.165,-0.033,0.01,-0.052,-0.014,-1.525,426,832,1258,thickness,HY1-vs-PD,R_lateraloccipital,rh,0.1526839267879651,0.008609600420108672,0.0827605888602368,584,-0.165
