Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.005,-0.165,-0.042,0.015,-0.071,-0.013,-1.831,229,919,1148,thickness,HY2-vs-HY3,L_bankssts,lh,0.1679100593637136,0.009911417418600356,0.0827605888602368,584,-0.165
R_bankssts,0.013,-0.145,-0.038,0.015,-0.068,-0.008,-1.581,241,1003,1244,thickness,HY2-vs-HY3,R_bankssts,rh,0.1534593994993605,0.008701884205673666,0.0827605888602368,584,-0.145
L_caudalanteriorcingulate,0.356,-0.058,-0.02,0.022,-0.064,0.023,-0.778,257,1046,1303,thickness,HY2-vs-HY3,L_caudalanteriorcingulate,lh,0.2181119375336781,0.012084737562248163,0.0827605888602368,584,-0.058
R_caudalanteriorcingulate,0.644,-0.029,-0.009,0.02,-0.049,0.03,-0.377,258,1046,1304,thickness,HY2-vs-HY3,R_caudalanteriorcingulate,rh,0.2345456463717201,0.012990281907038005,0.0827605888602368,584,-0.029
L_caudalmiddlefrontal,0.053,-0.116,-0.025,0.013,-0.049,0.001,-1.027,259,1051,1310,thickness,HY2-vs-HY3,L_caudalmiddlefrontal,lh,0.1753441914871878,0.00968915116746254,0.0827605888602368,584,-0.116
R_caudalmiddlefrontal,0.046,-0.125,-0.026,0.013,-0.052,0.001,-1.098,257,1048,1305,thickness,HY2-vs-HY3,R_caudalmiddlefrontal,rh,0.1700381669057965,0.009413934109428132,0.0827605888602368,584,-0.125
L_cuneus,0.045,-0.126,-0.025,0.012,-0.049,-0.001,-1.407,225,980,1205,thickness,HY2-vs-HY3,L_cuneus,lh,0.2145175843375185,0.012359456404810898,0.0827605888602368,584,-0.126
R_cuneus,0.049,-0.11,-0.024,0.012,-0.048,0.001,-1.348,230,953,1183,thickness,HY2-vs-HY3,R_cuneus,rh,0.2110250670946185,0.012270765888639122,0.0827605888602368,584,-0.11
L_entorhinal,0.008,-0.165,-0.071,0.027,-0.123,-0.019,-2.206,259,1028,1287,thickness,HY2-vs-HY3,L_entorhinal,lh,0.347724072261647,0.0193854318077287,0.0827605888602368,584,-0.165
R_entorhinal,0.019,-0.124,-0.07,0.03,-0.128,-0.012,-2.103,244,998,1242,thickness,HY2-vs-HY3,R_entorhinal,rh,0.3352087278490374,0.019023241249921673,0.0827605888602368,584,-0.124
L_frontalpole,0.367,-0.059,-0.019,0.022,-0.062,0.023,-0.731,260,1053,1313,thickness,HY2-vs-HY3,L_frontalpole,lh,0.3407844666065796,0.018809507462948717,0.0827605888602368,584,-0.059
R_frontalpole,0.474,-0.044,-0.016,0.022,-0.058,0.027,-0.6,257,1052,1309,thickness,HY2-vs-HY3,R_frontalpole,rh,0.3308039802832321,0.01828651298865156,0.0827605888602368,584,-0.044
L_fusiform,0.002,-0.186,-0.042,0.013,-0.069,-0.016,-1.661,254,1038,1292,thickness,HY2-vs-HY3,L_fusiform,lh,0.2199788565103603,0.012239950994408779,0.0827605888602368,584,-0.186
R_fusiform,0.013,-0.123,-0.038,0.015,-0.068,-0.008,-1.477,255,1047,1302,thickness,HY2-vs-HY3,R_fusiform,rh,0.2034578796835348,0.011277141188279879,0.0827605888602368,584,-0.123
L_inferiorparietal,0.001,-0.233,-0.047,0.012,-0.07,-0.023,-2.054,250,1015,1265,thickness,HY2-vs-HY3,L_inferiorparietal,lh,0.1388691826870925,0.007808913504396732,0.0827605888602368,584,-0.233
R_inferiorparietal,0.005,-0.159,-0.034,0.012,-0.058,-0.01,-1.469,252,1018,1270,thickness,HY2-vs-HY3,R_inferiorparietal,rh,0.1402146441904612,0.007869035588180775,0.0827605888602368,584,-0.159
L_inferiortemporal,0.003,-0.183,-0.043,0.014,-0.071,-0.015,-1.627,234,1020,1254,thickness,HY2-vs-HY3,L_inferiortemporal,lh,0.1931727905328623,0.010910061055012148,0.0827605888602368,584,-0.183
R_inferiortemporal,0.166,-0.079,-0.02,0.014,-0.048,0.008,-0.749,242,1025,1267,thickness,HY2-vs-HY3,R_inferiortemporal,rh,0.1804525516817452,0.010139223953473908,0.0827605888602368,584,-0.079
L_insula,0.905,-0.008,-0.002,0.015,-0.031,0.028,-0.062,255,1052,1307,thickness,HY2-vs-HY3,L_insula,lh,0.2981904866965747,0.016496278716609622,0.0827605888602368,584,
R_insula,0.98,0.001,0.001,0.016,-0.032,0.033,0.015,256,1043,1299,thickness,HY2-vs-HY3,R_insula,rh,0.3167477759911346,0.017576766945154622,0.0827605888602368,584,
L_isthmuscingulate,0.016,-0.151,-0.037,0.015,-0.067,-0.007,-1.611,259,1052,1311,thickness,HY2-vs-HY3,L_isthmuscingulate,lh,0.2212486498239776,0.01222107132931086,0.0827605888602368,584,-0.151
R_isthmuscingulate,0.061,-0.114,-0.03,0.016,-0.062,0.001,-1.325,258,1047,1305,thickness,HY2-vs-HY3,R_isthmuscingulate,rh,0.2184653938129115,0.012095042307086341,0.0827605888602368,584,-0.114
L_lateraloccipital,0.015,-0.148,-0.029,0.012,-0.052,-0.006,-1.389,248,1036,1284,thickness,HY2-vs-HY3,L_lateraloccipital,lh,0.1493056868036902,0.008333430799166154,0.0827605888602368,584,-0.148
R_lateraloccipital,0.011,-0.154,-0.031,0.012,-0.056,-0.007,-1.476,252,1035,1287,thickness,HY2-vs-HY3,R_lateraloccipital,rh,0.1526839267879651,0.008512047588862896,0.0827605888602368,584,-0.154
L_lateralorbitofrontal,0.016,-0.141,-0.032,0.013,-0.058,-0.006,-1.267,260,1055,1315,thickness,HY2-vs-HY3,L_lateralorbitofrontal,lh,0.2368625051545744,0.013063616947494937,0.0827605888602368,584,-0.141
R_lateralorbitofrontal,0.31,-0.053,-0.014,0.013,-0.04,0.013,-0.553,259,1051,1310,thickness,HY2-vs-HY3,R_lateralorbitofrontal,rh,0.2955741158849632,0.016332803873960994,0.0827605888602368,584,-0.053
L_lingual,0.002,-0.185,-0.034,0.011,-0.055,-0.013,-1.766,244,1020,1264,thickness,HY2-vs-HY3,L_lingual,lh,0.2498141822812938,0.014053145698220597,0.0827605888602368,584,-0.185
R_lingual,0.035,-0.112,-0.024,0.011,-0.046,-0.002,-1.219,245,996,1241,thickness,HY2-vs-HY3,R_lingual,rh,0.2610434941592119,0.014820299453232473,0.0827605888602368,584,-0.112
L_medialorbitofrontal,0.979,0.002,0.001,0.013,-0.026,0.027,0.015,256,1042,1298,thickness,HY2-vs-HY3,L_medialorbitofrontal,lh,0.2972194770645651,0.016499467007923554,0.0827605888602368,584,
R_medialorbitofrontal,0.961,-0.003,-0.001,0.014,-0.028,0.027,-0.03,256,1037,1293,thickness,HY2-vs-HY3,R_medialorbitofrontal,rh,0.2374629973130645,0.013207684267928357,0.0827605888602368,584,
L_middletemporal,0.001,-0.237,-0.055,0.014,-0.083,-0.027,-2.073,231,960,1191,thickness,HY2-vs-HY3,L_middletemporal,lh,0.1664019105650013,0.009643449783500407,0.0827605888602368,584,-0.237
R_middletemporal,0.007,-0.155,-0.038,0.014,-0.066,-0.011,-1.438,251,1018,1269,thickness,HY2-vs-HY3,R_middletemporal,rh,0.1421137530783172,0.00797875801099185,0.0827605888602368,584,-0.155
L_paracentral,0.056,-0.113,-0.028,0.015,-0.057,0.001,-1.272,257,1047,1304,thickness,HY2-vs-HY3,L_paracentral,lh,0.2087907284844583,0.011563848933228238,0.0827605888602368,584,-0.113
R_paracentral,0.101,-0.098,-0.024,0.015,-0.053,0.005,-1.068,254,1040,1294,thickness,HY2-vs-HY3,R_paracentral,rh,0.1965077196420784,0.01092552898268821,0.0827605888602368,584,-0.098
L_parahippocampal,0.133,-0.093,-0.036,0.024,-0.082,0.011,-1.411,259,1055,1314,thickness,HY2-vs-HY3,L_parahippocampal,lh,0.1419923979078971,0.00783424964302308,0.0827605888602368,584,-0.093
R_parahippocampal,0.002,-0.188,-0.065,0.021,-0.106,-0.025,-2.599,258,1044,1302,thickness,HY2-vs-HY3,R_parahippocampal,rh,0.1475454646038709,0.008178061418000992,0.0827605888602368,584,-0.188
L_parsopercularis,0.048,-0.117,-0.024,0.012,-0.048,0.001,-1.014,259,1053,1312,thickness,HY2-vs-HY3,L_parsopercularis,lh,0.1700048874171607,0.009386949578829766,0.0827605888602368,584,-0.117
R_parsopercularis,0.251,-0.067,-0.014,0.012,-0.039,0.01,-0.593,259,1052,1311,thickness,HY2-vs-HY3,R_parsopercularis,rh,0.1842800518819023,0.010179043625394206,0.0827605888602368,584,-0.067
L_parsorbitalis,0.179,-0.082,-0.021,0.016,-0.052,0.01,-0.836,260,1050,1310,thickness,HY2-vs-HY3,L_parsorbitalis,lh,0.2585720930571187,0.014288149929966038,0.0827605888602368,584,-0.082
R_parsorbitalis,0.678,0.025,0.006,0.015,-0.024,0.037,0.254,258,1048,1306,thickness,HY2-vs-HY3,R_parsorbitalis,rh,0.2583572701375833,0.014298125155043688,0.0827605888602368,584,0.025
L_parstriangularis,0.004,-0.172,-0.036,0.013,-0.061,-0.012,-1.593,260,1053,1313,thickness,HY2-vs-HY3,L_parstriangularis,lh,0.1947534591914286,0.010749365076916121,0.0827605888602368,584,-0.172
R_parstriangularis,0.459,-0.044,-0.009,0.012,-0.033,0.015,-0.395,259,1045,1304,thickness,HY2-vs-HY3,R_parstriangularis,rh,0.2348309682032626,0.0130060844217438,0.0827605888602368,584,-0.044
L_pericalcarine,0.349,-0.055,-0.011,0.012,-0.035,0.012,-0.732,219,976,1195,thickness,HY2-vs-HY3,L_pericalcarine,lh,0.2573619043092968,0.014889849373276212,0.0827605888602368,584,-0.055
R_pericalcarine,0.109,-0.086,-0.021,0.013,-0.046,0.005,-1.3,222,935,1157,thickness,HY2-vs-HY3,R_pericalcarine,rh,0.2823649468492684,0.016602523285974682,0.0827605888602368,584,-0.086
L_postcentral,0.075,-0.101,-0.019,0.011,-0.04,0.002,-0.97,248,1002,1250,thickness,HY2-vs-HY3,L_postcentral,lh,0.1993295859291462,0.011275784152128474,0.0827605888602368,584,-0.101
R_postcentral,0.135,-0.08,-0.016,0.011,-0.038,0.005,-0.849,244,996,1240,thickness,HY2-vs-HY3,R_postcentral,rh,0.1919447953904879,0.010901731806415904,0.0827605888602368,584,-0.08
L_posteriorcingulate,0.142,-0.091,-0.02,0.014,-0.048,0.007,-0.861,259,1054,1313,thickness,HY2-vs-HY3,L_posteriorcingulate,lh,0.2107243510940018,0.011630874182723462,0.0827605888602368,584,-0.091
R_posteriorcingulate,0.006,-0.154,-0.037,0.013,-0.063,-0.01,-1.571,259,1054,1313,thickness,HY2-vs-HY3,R_posteriorcingulate,rh,0.229542991757253,0.01266956401950706,0.0827605888602368,584,-0.154
L_precentral,0.017,-0.14,-0.033,0.014,-0.061,-0.006,-1.413,246,1010,1256,thickness,HY2-vs-HY3,L_precentral,lh,0.1934859788469978,0.010919045479032842,0.0827605888602368,584,-0.14
R_precentral,0.042,-0.12,-0.029,0.014,-0.056,-0.001,-1.226,247,1008,1255,thickness,HY2-vs-HY3,R_precentral,rh,0.203213697138652,0.011472580400721855,0.0827605888602368,584,-0.12
L_precuneus,0.001,-0.207,-0.042,0.012,-0.066,-0.019,-1.92,257,1053,1310,thickness,HY2-vs-HY3,L_precuneus,lh,0.1266028694300775,0.006995808242853454,0.0827605888602368,584,-0.207
R_precuneus,0.003,-0.176,-0.036,0.012,-0.059,-0.012,-1.605,258,1050,1308,thickness,HY2-vs-HY3,R_precuneus,rh,0.1368537324431657,0.007568028697072393,0.0827605888602368,584,-0.176
L_rostralanteriorcingulate,0.361,-0.06,-0.018,0.02,-0.056,0.02,-0.649,257,1040,1297,thickness,HY2-vs-HY3,L_rostralanteriorcingulate,lh,0.283732439618703,0.015756835458324008,0.0827605888602368,584,-0.06
R_rostralanteriorcingulate,0.019,0.14,0.048,0.02,0.008,0.088,1.79,255,1038,1293,thickness,HY2-vs-HY3,R_rostralanteriorcingulate,rh,0.2607243987946873,0.014501482669679988,0.0827605888602368,584,0.14
L_rostralmiddlefrontal,0.001,-0.197,-0.038,0.011,-0.059,-0.016,-1.672,258,1042,1300,thickness,HY2-vs-HY3,L_rostralmiddlefrontal,lh,0.1904458556017539,0.010564035347257453,0.0827605888602368,584,-0.197
R_rostralmiddlefrontal,0.193,-0.068,-0.015,0.011,-0.037,0.007,-0.663,259,1048,1307,thickness,HY2-vs-HY3,R_rostralmiddlefrontal,rh,0.192271968463831,0.010636730957812162,0.0827605888602368,584,-0.068
L_superiorfrontal,0.014,-0.153,-0.03,0.012,-0.054,-0.006,-1.183,252,1025,1277,thickness,HY2-vs-HY3,L_superiorfrontal,lh,0.132671725682411,0.007425281539275558,0.0827605888602368,584,-0.153
R_superiorfrontal,0.034,-0.121,-0.025,0.012,-0.049,-0.002,-1.011,251,1026,1277,thickness,HY2-vs-HY3,R_superiorfrontal,rh,0.1426994383762407,0.00798650579081572,0.0827605888602368,584,-0.121
L_superiorparietal,0.006,-0.156,-0.032,0.012,-0.055,-0.009,-1.565,244,1019,1263,thickness,HY2-vs-HY3,L_superiorparietal,lh,0.1101292843519363,0.006197708378336038,0.0827605888602368,584,-0.156
R_superiorparietal,0.008,-0.145,-0.031,0.012,-0.055,-0.008,-1.538,247,1023,1270,thickness,HY2-vs-HY3,R_superiorparietal,rh,0.1081804550791144,0.006071233542530753,0.0827605888602368,584,-0.145
L_superiortemporal,0.001,-0.214,-0.05,0.014,-0.078,-0.022,-1.94,212,903,1115,thickness,HY2-vs-HY3,L_superiortemporal,lh,0.1260174974969587,0.007547852645156111,0.0827605888602368,584,-0.214
R_superiortemporal,0.024,-0.115,-0.03,0.013,-0.057,-0.004,-1.188,239,958,1197,thickness,HY2-vs-HY3,R_superiortemporal,rh,0.1130545562343416,0.006535382187394857,0.0827605888602368,584,-0.115
L_supramarginal,0.001,-0.201,-0.042,0.012,-0.066,-0.017,-1.771,246,1000,1246,thickness,HY2-vs-HY3,L_supramarginal,lh,0.1406715982860254,0.007970350063978322,0.0827605888602368,584,-0.201
R_supramarginal,0.005,-0.17,-0.035,0.012,-0.06,-0.011,-1.492,250,1013,1263,thickness,HY2-vs-HY3,R_supramarginal,rh,0.1349963545396925,0.007597144052092119,0.0827605888602368,584,-0.17
L_temporalpole,0.847,-0.013,-0.005,0.028,-0.061,0.05,-0.155,238,1004,1242,thickness,HY2-vs-HY3,L_temporalpole,lh,0.3656352824157033,0.020749961468812462,0.0827605888602368,584,
R_temporalpole,0.195,-0.077,-0.037,0.029,-0.093,0.019,-1.038,241,1001,1242,thickness,HY2-vs-HY3,R_temporalpole,rh,0.3205953854095554,0.018193927704066807,0.0827605888602368,584,-0.077
L_transversetemporal,0.336,-0.059,-0.017,0.017,-0.051,0.017,-0.779,260,1058,1318,thickness,HY2-vs-HY3,L_transversetemporal,lh,0.1956680130206627,0.010779338877907942,0.0827605888602368,584,-0.059
R_transversetemporal,0.05,-0.093,-0.037,0.019,-0.075,0.001,-1.686,259,1057,1316,thickness,HY2-vs-HY3,R_transversetemporal,rh,0.1930159768564547,0.010641315268514761,0.0827605888602368,584,-0.093
