Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.028,-0.229,-0.055,0.025,-0.103,-0.006,-2.461,73,229,302,thickness,HY3-vs-HY4+5,L_bankssts,lh,0.1679100593637136,0.019324276340905493,0.0827605888602368,584,-0.229
R_bankssts,0.63,-0.048,-0.011,0.023,-0.057,0.035,-0.487,76,241,317,thickness,HY3-vs-HY4+5,R_bankssts,rh,0.1534593994993605,0.01723827715586052,0.0827605888602368,584,-0.048
L_caudalanteriorcingulate,0.6,0.059,0.02,0.039,-0.056,0.096,0.766,80,257,337,thickness,HY3-vs-HY4+5,L_caudalanteriorcingulate,lh,0.2181119375336781,0.023762628638648954,0.0827605888602368,584,0.059
R_caudalanteriorcingulate,0.106,-0.182,-0.059,0.036,-0.13,0.013,-2.321,81,258,339,thickness,HY3-vs-HY4+5,R_caudalanteriorcingulate,rh,0.2345456463717201,0.02547754178644353,0.0827605888602368,584,-0.182
L_caudalmiddlefrontal,0.182,-0.136,-0.028,0.021,-0.069,0.013,-1.184,81,259,340,thickness,HY3-vs-HY4+5,L_caudalmiddlefrontal,lh,0.1753441914871878,0.019018747867578883,0.0827605888602368,584,-0.136
R_caudalmiddlefrontal,0.771,0.03,0.007,0.023,-0.038,0.051,0.282,81,257,338,thickness,HY3-vs-HY4+5,R_caudalmiddlefrontal,rh,0.1700381669057965,0.0184977139814798,0.0827605888602368,584,0.03
L_cuneus,0.476,0.078,0.015,0.021,-0.026,0.056,0.861,74,225,299,thickness,HY3-vs-HY4+5,L_cuneus,lh,0.2145175843375185,0.02481174443834284,0.0827605888602368,584,0.078
R_cuneus,0.659,0.039,0.009,0.02,-0.03,0.047,0.489,73,230,303,thickness,HY3-vs-HY4+5,R_cuneus,rh,0.2110250670946185,0.024246146695942526,0.0827605888602368,584,0.039
L_entorhinal,0.915,0.012,0.005,0.044,-0.083,0.092,0.154,81,259,340,thickness,HY3-vs-HY4+5,L_entorhinal,lh,0.347724072261647,0.037715971095143276,0.0827605888602368,584,
R_entorhinal,0.834,-0.018,-0.01,0.048,-0.105,0.085,-0.321,81,244,325,thickness,HY3-vs-HY4+5,R_entorhinal,rh,0.3352087278490374,0.03718806942285409,0.0827605888602368,584,
L_frontalpole,0.312,-0.124,-0.036,0.035,-0.105,0.034,-1.345,81,260,341,thickness,HY3-vs-HY4+5,L_frontalpole,lh,0.3407844666065796,0.036909027049966285,0.0827605888602368,584,-0.124
R_frontalpole,0.006,-0.295,-0.094,0.034,-0.161,-0.027,-3.607,81,257,338,thickness,HY3-vs-HY4+5,R_frontalpole,rh,0.3308039802832321,0.03598672887719606,0.0827605888602368,584,-0.295
L_fusiform,0.104,-0.155,-0.033,0.02,-0.073,0.007,-1.331,81,254,335,thickness,HY3-vs-HY4+5,L_fusiform,lh,0.2199788565103603,0.024037457662673983,0.0827605888602368,584,-0.155
R_fusiform,0.081,-0.136,-0.044,0.025,-0.093,0.005,-1.726,79,255,334,thickness,HY3-vs-HY4+5,R_fusiform,rh,0.2034578796835348,0.022265439722847,0.0827605888602368,584,-0.136
L_inferiorparietal,0.431,-0.078,-0.016,0.02,-0.056,0.024,-0.735,78,250,328,thickness,HY3-vs-HY4+5,L_inferiorparietal,lh,0.1388691826870925,0.015335535768902283,0.0827605888602368,584,-0.078
R_inferiorparietal,0.148,-0.138,-0.031,0.021,-0.072,0.011,-1.369,80,252,332,thickness,HY3-vs-HY4+5,R_inferiorparietal,rh,0.1402146441904612,0.015390556659283709,0.0827605888602368,584,-0.138
L_inferiortemporal,0.176,-0.144,-0.031,0.023,-0.076,0.014,-1.201,79,234,313,thickness,HY3-vs-HY4+5,L_inferiortemporal,lh,0.1931727905328623,0.02183754336797714,0.0827605888602368,584,-0.144
R_inferiortemporal,0.066,-0.165,-0.039,0.021,-0.08,0.003,-1.482,79,242,321,thickness,HY3-vs-HY4+5,R_inferiortemporal,rh,0.1804525516817452,0.02014375854216439,0.0827605888602368,584,-0.165
L_insula,0.175,-0.161,-0.031,0.023,-0.076,0.014,-1.082,81,255,336,thickness,HY3-vs-HY4+5,L_insula,lh,0.2981904866965747,0.03253524944768515,0.0827605888602368,584,-0.161
R_insula,0.008,-0.243,-0.07,0.027,-0.123,-0.018,-2.504,81,256,337,thickness,HY3-vs-HY4+5,R_insula,rh,0.3167477759911346,0.03450870162405994,0.0827605888602368,584,-0.243
L_isthmuscingulate,0.148,-0.162,-0.036,0.025,-0.085,0.013,-1.6,81,259,340,thickness,HY3-vs-HY4+5,L_isthmuscingulate,lh,0.2212486498239776,0.023997785449037502,0.0827605888602368,584,-0.162
R_isthmuscingulate,0.649,-0.048,-0.012,0.026,-0.064,0.04,-0.534,81,258,339,thickness,HY3-vs-HY4+5,R_isthmuscingulate,rh,0.2184653938129115,0.02373082291597547,0.0827605888602368,584,-0.048
L_lateraloccipital,0.286,0.108,0.022,0.02,-0.018,0.061,1.056,76,248,324,thickness,HY3-vs-HY4+5,L_lateraloccipital,lh,0.1493056868036902,0.016589520755965575,0.0827605888602368,584,0.108
R_lateraloccipital,0.381,-0.094,-0.018,0.021,-0.059,0.022,-0.857,78,252,330,thickness,HY3-vs-HY4+5,R_lateraloccipital,rh,0.1526839267879651,0.016809947091075566,0.0827605888602368,584,-0.094
L_lateralorbitofrontal,0.237,-0.121,-0.025,0.021,-0.065,0.016,-0.994,81,260,341,thickness,HY3-vs-HY4+5,L_lateralorbitofrontal,lh,0.2368625051545744,0.025653647588244198,0.0827605888602368,584,-0.121
R_lateralorbitofrontal,0.003,-0.244,-0.06,0.02,-0.099,-0.02,-2.433,81,259,340,thickness,HY3-vs-HY4+5,R_lateralorbitofrontal,rh,0.2955741158849632,0.0320595141391348,0.0827605888602368,584,-0.244
L_lingual,0.602,-0.051,-0.009,0.017,-0.043,0.025,-0.488,77,244,321,thickness,HY3-vs-HY4+5,L_lingual,lh,0.2498141822812938,0.027886535941911466,0.0827605888602368,584,-0.051
R_lingual,0.647,-0.04,-0.009,0.02,-0.048,0.03,-0.467,75,245,320,thickness,HY3-vs-HY4+5,R_lingual,rh,0.2610434941592119,0.029185549901203357,0.0827605888602368,584,-0.04
