Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.001,-0.473,-0.115,0.026,-0.167,-0.064,-5.154,75,301,376,thickness,HY4+5-vs-PD,L_bankssts,lh,0.1679100593637136,0.017318600268830944,0.0827605888602368,584,-0.473
R_bankssts,0.001,-0.346,-0.084,0.025,-0.132,-0.035,-3.554,78,318,396,thickness,HY4+5-vs-PD,R_bankssts,rh,0.1534593994993605,0.015423249960382789,0.0827605888602368,584,-0.346
L_caudalanteriorcingulate,0.067,0.205,0.071,0.039,-0.005,0.147,2.732,82,327,409,thickness,HY4+5-vs-PD,L_caudalanteriorcingulate,lh,0.2181119375336781,0.021569882402159356,0.0827605888602368,584,0.205
R_caudalanteriorcingulate,0.051,-0.212,-0.067,0.034,-0.134,0.001,-2.708,83,329,412,thickness,HY4+5-vs-PD,R_caudalanteriorcingulate,rh,0.2345456463717201,0.023110469243602452,0.0827605888602368,584,-0.212
L_caudalmiddlefrontal,0.001,-0.379,-0.076,0.021,-0.118,-0.035,-3.231,82,327,409,thickness,HY4+5-vs-PD,L_caudalmiddlefrontal,lh,0.1753441914871878,0.01734042452259799,0.0827605888602368,584,-0.379
R_caudalmiddlefrontal,0.366,-0.099,-0.02,0.022,-0.064,0.024,-0.863,82,326,408,thickness,HY4+5-vs-PD,R_caudalmiddlefrontal,rh,0.1700381669057965,0.01683628731740321,0.0827605888602368,584,-0.099
L_cuneus,0.131,-0.145,-0.027,0.018,-0.062,0.008,-1.56,76,309,385,thickness,HY4+5-vs-PD,L_cuneus,lh,0.2145175843375185,0.021865656874320055,0.0827605888602368,584,-0.145
R_cuneus,0.449,-0.067,-0.015,0.02,-0.053,0.024,-0.845,75,296,371,thickness,HY4+5-vs-PD,R_cuneus,rh,0.2110250670946185,0.021911751193095477,0.0827605888602368,584,-0.067
L_entorhinal,0.001,-0.399,-0.166,0.044,-0.253,-0.079,-5.243,83,325,408,thickness,HY4+5-vs-PD,L_entorhinal,lh,0.347724072261647,0.034429813578371334,0.0827605888602368,584,-0.399
R_entorhinal,0.001,-0.37,-0.195,0.047,-0.287,-0.103,-5.753,83,317,400,thickness,HY4+5-vs-PD,R_entorhinal,rh,0.3352087278490374,0.03352087278490374,0.0827605888602368,584,-0.37
