Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.034,-0.073,-0.026,0.012,-0.05,-0.002,-1.127,940,1081,2021,thickness,MoCA-vs-HC,L_bankssts,lh,0.1679100593637136,0.007470050779959419,0.0827605888602368,584,-0.073
R_bankssts,0.002,-0.102,-0.037,0.012,-0.061,-0.013,-1.525,1005,1129,2134,thickness,MoCA-vs-HC,R_bankssts,rh,0.1534593994993605,0.0066439488848745185,0.0827605888602368,584,-0.102
L_caudalanteriorcingulate,0.551,0.023,0.011,0.018,-0.025,0.047,0.421,1026,1169,2195,thickness,MoCA-vs-HC,L_caudalanteriorcingulate,lh,0.2181119375336781,0.009310910864640736,0.0827605888602368,584,0.023
R_caudalanteriorcingulate,0.581,-0.021,-0.009,0.017,-0.042,0.023,-0.372,1025,1173,2198,thickness,MoCA-vs-HC,R_caudalanteriorcingulate,rh,0.2345456463717201,0.010005609003107799,0.0827605888602368,584,-0.021
L_caudalmiddlefrontal,0.034,-0.078,-0.022,0.01,-0.042,-0.002,-0.905,1034,1167,2201,thickness,MoCA-vs-HC,L_caudalmiddlefrontal,lh,0.1753441914871878,0.007475002775514485,0.0827605888602368,584,-0.078
R_caudalmiddlefrontal,0.159,-0.052,-0.014,0.01,-0.034,0.006,-0.597,1034,1167,2201,thickness,MoCA-vs-HC,R_caudalmiddlefrontal,rh,0.1700381669057965,0.0072488045300154545,0.0827605888602368,584,-0.052
L_cuneus,0.787,0.01,0.003,0.009,-0.016,0.021,0.145,939,1118,2057,thickness,MoCA-vs-HC,L_cuneus,lh,0.2145175843375185,0.009459664799742603,0.0827605888602368,584,0.01
R_cuneus,0.342,-0.031,-0.009,0.01,-0.029,0.01,-0.519,929,1085,2014,thickness,MoCA-vs-HC,R_cuneus,rh,0.2110250670946185,0.009404469657445432,0.0827605888602368,584,-0.031
L_entorhinal,0.797,-0.01,-0.006,0.022,-0.049,0.038,-0.176,1017,1163,2180,thickness,MoCA-vs-HC,L_entorhinal,lh,0.347724072261647,0.014894862757649589,0.0827605888602368,584,
R_entorhinal,0.127,-0.049,-0.036,0.024,-0.082,0.01,-1.057,1011,1145,2156,thickness,MoCA-vs-HC,R_entorhinal,rh,0.3352087278490374,0.014438462035423557,0.0827605888602368,584,-0.049
L_frontalpole,0.647,-0.018,-0.008,0.018,-0.043,0.027,-0.308,1031,1169,2200,thickness,MoCA-vs-HC,L_frontalpole,lh,0.3407844666065796,0.014531098480677471,0.0827605888602368,584,-0.018
R_frontalpole,0.183,-0.051,-0.024,0.018,-0.058,0.011,-0.898,1030,1171,2201,thickness,MoCA-vs-HC,R_frontalpole,rh,0.3308039802832321,0.014102324404336375,0.0827605888602368,584,-0.051
L_fusiform,0.006,-0.093,-0.029,0.01,-0.049,-0.008,-1.114,1012,1170,2182,thickness,MoCA-vs-HC,L_fusiform,lh,0.2199788565103603,0.009418539483244948,0.0827605888602368,584,-0.093
R_fusiform,0.001,-0.101,-0.041,0.012,-0.065,-0.017,-1.552,1019,1172,2191,thickness,MoCA-vs-HC,R_fusiform,rh,0.2034578796835348,0.008693273057352662,0.0827605888602368,584,-0.101
L_inferiorparietal,0.022,-0.081,-0.021,0.009,-0.039,-0.003,-0.928,1006,1128,2134,thickness,MoCA-vs-HC,L_inferiorparietal,lh,0.1388691826870925,0.006012272656268206,0.0827605888602368,584,-0.081
R_inferiorparietal,0.001,-0.119,-0.035,0.01,-0.053,-0.016,-1.48,1004,1153,2157,thickness,MoCA-vs-HC,R_inferiorparietal,rh,0.1402146441904612,0.006038072138648301,0.0827605888602368,584,-0.119
L_inferiortemporal,0.003,-0.102,-0.031,0.011,-0.052,-0.011,-1.176,991,1110,2101,thickness,MoCA-vs-HC,L_inferiortemporal,lh,0.1931727905328623,0.008428745154984723,0.0827605888602368,584,-0.102
R_inferiortemporal,0.021,-0.075,-0.025,0.011,-0.046,-0.004,-0.925,1007,1129,2136,thickness,MoCA-vs-HC,R_inferiortemporal,rh,0.1804525516817452,0.00780894562991928,0.0827605888602368,584,-0.075
L_insula,0.149,-0.055,-0.017,0.012,-0.041,0.006,-0.6,1031,1168,2199,thickness,MoCA-vs-HC,L_insula,lh,0.2981904866965747,0.012717775806949683,0.0827605888602368,584,-0.055
R_insula,0.282,-0.038,-0.014,0.013,-0.04,0.012,-0.491,1028,1163,2191,thickness,MoCA-vs-HC,R_insula,rh,0.3167477759911346,0.01353388185939571,0.0827605888602368,584,-0.038
L_isthmuscingulate,0.011,-0.096,-0.033,0.013,-0.058,-0.007,-1.383,1031,1173,2204,thickness,MoCA-vs-HC,L_isthmuscingulate,lh,0.2212486498239776,0.009425509373453607,0.0827605888602368,584,-0.096
R_isthmuscingulate,0.022,-0.083,-0.03,0.013,-0.055,-0.004,-1.277,1031,1175,2206,thickness,MoCA-vs-HC,R_isthmuscingulate,rh,0.2184653938129115,0.00930271880377085,0.0827605888602368,584,-0.083
L_lateraloccipital,0.008,-0.098,-0.025,0.009,-0.043,-0.006,-1.168,1006,1151,2157,thickness,MoCA-vs-HC,L_lateraloccipital,lh,0.1493056868036902,0.0064295602847768835,0.0827605888602368,584,-0.098
R_lateraloccipital,0.003,-0.105,-0.03,0.01,-0.049,-0.01,-1.37,1007,1157,2164,thickness,MoCA-vs-HC,R_lateraloccipital,rh,0.1526839267879651,0.006564394731231294,0.0827605888602368,584,-0.105
L_lateralorbitofrontal,0.011,-0.087,-0.027,0.011,-0.048,-0.006,-1.068,1025,1168,2193,thickness,MoCA-vs-HC,L_lateralorbitofrontal,lh,0.2368625051545744,0.010115957546280986,0.0827605888602368,584,-0.087
R_lateralorbitofrontal,0.164,-0.044,-0.015,0.011,-0.036,0.006,-0.599,1026,1169,2195,thickness,MoCA-vs-HC,R_lateralorbitofrontal,rh,0.2955741158849632,0.012617669064880708,0.0827605888602368,584,-0.044
L_lingual,0.614,-0.018,-0.004,0.009,-0.021,0.013,-0.229,998,1158,2156,thickness,MoCA-vs-HC,L_lingual,lh,0.2498141822812938,0.010760258570603917,0.0827605888602368,584,-0.018
R_lingual,0.42,-0.026,-0.007,0.009,-0.025,0.011,-0.373,981,1126,2107,thickness,MoCA-vs-HC,R_lingual,rh,0.2610434941592119,0.011373931329687845,0.0827605888602368,584,-0.026
L_medialorbitofrontal,0.222,-0.045,-0.013,0.011,-0.034,0.008,-0.565,1019,1166,2185,thickness,MoCA-vs-HC,L_medialorbitofrontal,lh,0.2972194770645651,0.01271690833191221,0.0827605888602368,584,-0.045
R_medialorbitofrontal,0.981,-0.001,0.001,0.012,-0.023,0.022,-0.012,1022,1165,2187,thickness,MoCA-vs-HC,R_medialorbitofrontal,rh,0.2374629973130645,0.010155505586760975,0.0827605888602368,584,
L_middletemporal,0.012,-0.089,-0.029,0.012,-0.052,-0.006,-1.096,943,1096,2039,thickness,MoCA-vs-HC,L_middletemporal,lh,0.1664019105650013,0.0073702070936707935,0.0827605888602368,584,-0.089
R_middletemporal,0.049,-0.063,-0.022,0.011,-0.044,0.001,-0.818,1005,1136,2141,thickness,MoCA-vs-HC,R_middletemporal,rh,0.1421137530783172,0.006142678293427347,0.0827605888602368,584,-0.063
L_paracentral,0.461,-0.026,-0.008,0.011,-0.031,0.014,-0.373,1028,1170,2198,thickness,MoCA-vs-HC,L_paracentral,lh,0.2087907284844583,0.008906916095038712,0.0827605888602368,584,-0.026
R_paracentral,0.403,-0.029,-0.01,0.011,-0.032,0.013,-0.417,1026,1173,2199,thickness,MoCA-vs-HC,R_paracentral,rh,0.1965077196420784,0.008381022313719518,0.0827605888602368,584,-0.029
L_parahippocampal,0.007,-0.104,-0.053,0.02,-0.092,-0.015,-2.036,1030,1169,2199,thickness,MoCA-vs-HC,L_parahippocampal,lh,0.1419923979078971,0.0060559526995284585,0.0827605888602368,584,-0.104
R_parahippocampal,0.001,-0.156,-0.073,0.017,-0.106,-0.039,-2.801,1030,1173,2203,thickness,MoCA-vs-HC,R_parahippocampal,rh,0.1475454646038709,0.0062870745683218125,0.0827605888602368,584,-0.156
L_parsopercularis,0.741,-0.011,-0.003,0.01,-0.022,0.016,-0.135,1025,1174,2199,thickness,MoCA-vs-HC,L_parsopercularis,lh,0.1700048874171607,0.007250680825566412,0.0827605888602368,584,-0.011
R_parsopercularis,0.987,-0.001,0.001,0.01,-0.021,0.02,-0.007,1023,1172,2195,thickness,MoCA-vs-HC,R_parsopercularis,rh,0.1842800518819023,0.00786667229957933,0.0827605888602368,584,
L_parsorbitalis,0.233,-0.044,-0.016,0.013,-0.042,0.01,-0.618,1025,1171,2196,thickness,MoCA-vs-HC,L_parsorbitalis,lh,0.2585720930571187,0.011035588010917304,0.0827605888602368,584,-0.044
R_parsorbitalis,0.766,0.011,0.004,0.013,-0.022,0.03,0.155,1024,1172,2196,thickness,MoCA-vs-HC,R_parsorbitalis,rh,0.2583572701375833,0.011026419592132174,0.0827605888602368,584,
L_parstriangularis,0.65,-0.016,-0.005,0.01,-0.024,0.015,-0.198,1023,1174,2197,thickness,MoCA-vs-HC,L_parstriangularis,lh,0.1947534591914286,0.008309983233002124,0.0827605888602368,584,-0.016
R_parstriangularis,0.648,0.016,0.004,0.01,-0.015,0.024,0.195,1022,1173,2195,thickness,MoCA-vs-HC,R_parstriangularis,rh,0.2348309682032626,0.01002462422699927,0.0827605888602368,584,0.016
L_pericalcarine,0.897,-0.004,-0.001,0.009,-0.02,0.017,-0.078,940,1124,2064,thickness,MoCA-vs-HC,L_pericalcarine,lh,0.2573619043092968,0.01132972609514044,0.0827605888602368,584,
R_pericalcarine,0.565,0.017,0.006,0.01,-0.014,0.025,0.361,912,1070,1982,thickness,MoCA-vs-HC,R_pericalcarine,rh,0.2823649468492684,0.012684955629098197,0.0827605888602368,584,0.017
L_postcentral,0.093,-0.057,-0.014,0.009,-0.031,0.002,-0.728,995,1130,2125,thickness,MoCA-vs-HC,L_postcentral,lh,0.1993295859291462,0.00864813166648257,0.0827605888602368,584,-0.057
R_postcentral,0.079,-0.057,-0.015,0.009,-0.032,0.002,-0.779,996,1134,2130,thickness,MoCA-vs-HC,R_postcentral,rh,0.1919447953904879,0.008317954388908094,0.0827605888602368,584,-0.057
L_posteriorcingulate,0.026,-0.079,-0.025,0.011,-0.047,-0.003,-1.04,1032,1173,2205,thickness,MoCA-vs-HC,L_posteriorcingulate,lh,0.2107243510940018,0.008975123305918481,0.0827605888602368,584,-0.079
R_posteriorcingulate,0.055,-0.065,-0.022,0.011,-0.044,0.001,-0.915,1031,1174,2205,thickness,MoCA-vs-HC,R_posteriorcingulate,rh,0.229542991757253,0.009776642539578889,0.0827605888602368,584,-0.065
L_precentral,0.039,-0.073,-0.023,0.011,-0.044,-0.001,-0.946,1018,1126,2144,thickness,MoCA-vs-HC,L_precentral,lh,0.1934859788469978,0.008357321395931218,0.0827605888602368,584,-0.073
R_precentral,0.163,-0.05,-0.016,0.011,-0.038,0.006,-0.663,1021,1131,2152,thickness,MoCA-vs-HC,R_precentral,rh,0.203213697138652,0.008761164593102595,0.0827605888602368,584,-0.05
L_precuneus,0.001,-0.111,-0.031,0.009,-0.049,-0.013,-1.393,1033,1173,2206,thickness,MoCA-vs-HC,L_precuneus,lh,0.1266028694300775,0.0053910181081912,0.0827605888602368,584,-0.111
R_precuneus,0.001,-0.132,-0.038,0.009,-0.056,-0.019,-1.673,1032,1174,2206,thickness,MoCA-vs-HC,R_precuneus,rh,0.1368537324431657,0.005827521549044626,0.0827605888602368,584,-0.132
L_rostralanteriorcingulate,0.159,-0.053,-0.022,0.016,-0.054,0.009,-0.821,1022,1164,2186,thickness,MoCA-vs-HC,L_rostralanteriorcingulate,lh,0.283732439618703,0.012137071464586098,0.0827605888602368,584,-0.053
