Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.001,-0.104,-0.026,0.007,-0.04,-0.012,-1.105,2061,1081,3142,thickness,all,L_bankssts,lh,0.1679100593637136,0.005991059330164439,0.0827605888602368,584,-0.104
R_bankssts,0.001,-0.122,-0.031,0.007,-0.045,-0.017,-1.261,2208,1129,3337,thickness,all,R_bankssts,rh,0.1534593994993605,0.005313068152314155,0.0827605888602368,584,-0.122
L_caudalanteriorcingulate,0.173,0.043,0.015,0.011,-0.006,0.036,0.567,2297,1169,3466,thickness,all,L_caudalanteriorcingulate,lh,0.2181119375336781,0.007409606628697051,0.0827605888602368,584,0.043
R_caudalanteriorcingulate,0.384,-0.027,-0.009,0.01,-0.028,0.011,-0.345,2295,1173,3468,thickness,all,R_caudalanteriorcingulate,rh,0.2345456463717201,0.00796558776882161,0.0827605888602368,584,-0.027
L_caudalmiddlefrontal,0.001,-0.135,-0.027,0.006,-0.039,-0.015,-1.119,2300,1167,3467,thickness,all,L_caudalmiddlefrontal,lh,0.1753441914871878,0.005955859700222017,0.0827605888602368,584,-0.135
R_caudalmiddlefrontal,0.197,-0.04,-0.008,0.006,-0.02,0.004,-0.335,2300,1167,3467,thickness,all,R_caudalmiddlefrontal,rh,0.1700381669057965,0.0057756316715393274,0.0827605888602368,584,-0.04
L_cuneus,0.001,-0.112,-0.021,0.006,-0.032,-0.01,-1.157,2142,1118,3260,thickness,all,L_cuneus,lh,0.2145175843375185,0.0075142232404940435,0.0827605888602368,584,-0.112
R_cuneus,0.001,-0.108,-0.022,0.006,-0.033,-0.011,-1.225,2110,1085,3195,thickness,all,R_cuneus,rh,0.2110250670946185,0.0074666984357379335,0.0827605888602368,584,-0.108
L_entorhinal,0.002,-0.096,-0.04,0.013,-0.066,-0.014,-1.24,2260,1163,3423,thickness,all,L_entorhinal,lh,0.347724072261647,0.01188670003252078,0.0827605888602368,584,-0.096
R_entorhinal,0.001,-0.1,-0.051,0.014,-0.079,-0.024,-1.51,2201,1145,3346,thickness,all,R_entorhinal,rh,0.3352087278490374,0.011589970891052027,0.0827605888602368,584,-0.1
L_frontalpole,0.747,-0.011,-0.003,0.011,-0.024,0.017,-0.128,2309,1169,3478,thickness,all,L_frontalpole,lh,0.3407844666065796,0.011556996923756741,0.0827605888602368,584,
R_frontalpole,0.003,-0.094,-0.03,0.01,-0.051,-0.01,-1.154,2306,1171,3477,thickness,all,R_frontalpole,rh,0.3308039802832321,0.011220142605240945,0.0827605888602368,584,-0.094
L_fusiform,0.001,-0.198,-0.043,0.006,-0.055,-0.03,-1.638,2274,1170,3444,thickness,all,L_fusiform,lh,0.2199788565103603,0.007496859374301708,0.0827605888602368,584,-0.198
R_fusiform,0.001,-0.117,-0.033,0.007,-0.047,-0.019,-1.26,2288,1172,3460,thickness,all,R_fusiform,rh,0.2034578796835348,0.0069177754456166436,0.0827605888602368,584,-0.117
L_inferiorparietal,0.001,-0.188,-0.036,0.006,-0.047,-0.025,-1.549,2213,1128,3341,thickness,all,L_inferiorparietal,lh,0.1388691826870925,0.004805046970065211,0.0827605888602368,584,-0.188
R_inferiorparietal,0.001,-0.194,-0.04,0.006,-0.051,-0.029,-1.694,2225,1153,3378,thickness,all,R_inferiorparietal,rh,0.1402146441904612,0.004824958111336178,0.0827605888602368,584,-0.194
L_inferiortemporal,0.001,-0.193,-0.042,0.007,-0.055,-0.029,-1.578,2211,1110,3321,thickness,all,L_inferiortemporal,lh,0.1931727905328623,0.00670411586489707,0.0827605888602368,584,-0.193
R_inferiortemporal,0.001,-0.141,-0.033,0.007,-0.046,-0.02,-1.231,2237,1129,3366,thickness,all,R_inferiortemporal,rh,0.1804525516817452,0.006220652873521362,0.0827605888602368,584,-0.141
L_insula,0.269,-0.036,-0.008,0.007,-0.022,0.006,-0.273,2303,1168,3471,thickness,all,L_insula,lh,0.2981904866965747,0.010122702483411414,0.0827605888602368,584,-0.036
R_insula,0.008,-0.077,-0.02,0.008,-0.036,-0.005,-0.71,2294,1163,3457,thickness,all,R_insula,rh,0.3167477759911346,0.010774419485013011,0.0827605888602368,584,-0.077
L_isthmuscingulate,0.001,-0.177,-0.042,0.008,-0.057,-0.027,-1.792,2302,1173,3475,thickness,all,L_isthmuscingulate,lh,0.2212486498239776,0.00750642621949353,0.0827605888602368,584,-0.177
R_isthmuscingulate,0.001,-0.178,-0.044,0.008,-0.059,-0.029,-1.869,2297,1175,3472,thickness,all,R_isthmuscingulate,rh,0.2184653938129115,0.007415198638298697,0.0827605888602368,584,-0.178
L_lateraloccipital,0.001,-0.166,-0.03,0.006,-0.042,-0.019,-1.44,2227,1151,3378,thickness,all,L_lateraloccipital,lh,0.1493056868036902,0.005137792052829616,0.0827605888602368,584,-0.166
R_lateraloccipital,0.001,-0.167,-0.033,0.006,-0.045,-0.021,-1.523,2246,1157,3403,thickness,all,R_lateraloccipital,rh,0.1526839267879651,0.0052347065634697695,0.0827605888602368,584,-0.167
L_lateralorbitofrontal,0.001,-0.125,-0.028,0.006,-0.04,-0.015,-1.089,2305,1168,3473,thickness,all,L_lateralorbitofrontal,lh,0.2368625051545744,0.00803847975365368,0.0827605888602368,584,-0.125
R_lateralorbitofrontal,0.001,-0.141,-0.034,0.006,-0.046,-0.021,-1.354,2304,1169,3473,thickness,all,R_lateralorbitofrontal,rh,0.2955741158849632,0.010030994752397928,0.0827605888602368,584,-0.141
L_lingual,0.001,-0.111,-0.019,0.005,-0.029,-0.009,-0.992,2244,1158,3402,thickness,all,L_lingual,lh,0.2498141822812938,0.008566036709787622,0.0827605888602368,584,-0.111
