SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
22qvsCN,L_bankssts,-0.35,0.08,-0.5,-0.2,,,7.74e-06,1.23e-05,lh,0.1786116799446558,0.0150152177724375,0.0840662703418397,566,-0.35
22qvsCN,L_caudalanteriorcingulate,-1.1,0.08,-1.26,-0.94,,,4.04e-41,3.1399999999999997e-40,lh,0.1683153490493292,0.014149643635862,0.0840662703418397,566,-1.1
22qvsCN,L_caudalmiddlefrontal,-0.04,0.08,-0.19,0.11,,,0.622,0.65,lh,0.1391865515943926,0.0117008942742826,0.0840662703418397,566,-0.04
22qvsCN,L_cuneus,-1.53,0.09,-1.7,-1.36,,,3.1799999999999995e-70,2.2299999999999997e-68,lh,0.1320470351444211,0.0111007017542893,0.0840662703418397,566,-1.53
22qvsCN,L_entorhinal,-0.39,0.08,-0.54,-0.24,,,3.7e-07,6.47e-07,lh,0.3530218209694457,0.0296772278381859,0.0840662703418397,566,-0.39
22qvsCN,L_fusiform,-1.01,0.08,-1.17,-0.86,,,1.07e-35,4.98e-35,lh,0.1480590464773536,0.0124467718277202,0.0840662703418397,566,-1.01
22qvsCN,L_inferiorparietal,-0.1,0.08,-0.25,0.05,,,0.1939999999999999,0.212,lh,0.0921604482852544,0.0077475851603733,0.0840662703418397,566,-0.1
22qvsCN,L_inferiortemporal,-0.7,0.08,-0.86,-0.55,,,6.81e-19,2.07e-18,lh,0.1600867279656501,0.0134578941513008,0.0840662703418397,566,-0.7
22qvsCN,L_isthmuscingulate,-0.13,0.08,-0.28,0.02,,,0.085,0.096,lh,0.1325562515823995,0.0111435096810269,0.0840662703418397,566,-0.13
22qvsCN,L_lateraloccipital,-0.81,0.08,-0.97,-0.66,,,2.58e-24,9.499999999999999e-24,lh,0.0874525302944431,0.0073518080538105,0.0840662703418397,566,-0.81
22qvsCN,L_lateralorbitofrontal,-0.21,0.08,-0.35,-0.06,,,0.0077,0.00979,lh,0.1678207846915011,0.0141080674548554,0.0840662703418397,566,-0.21
22qvsCN,L_lingual,-1.36,0.08,-1.53,-1.2,,,2.5000000000000002e-58,4.379999999999999e-57,lh,0.1180788657866528,0.0099264498528785,0.0840662703418397,566,-1.36
22qvsCN,L_medialorbitofrontal,-0.16,0.08,-0.3,-0.01,,,0.0437,0.0528,lh,0.2772285734046759,0.02330557219832,0.0840662703418397,566,-0.16
22qvsCN,L_middletemporal,-0.5,0.08,-0.65,-0.35,,,1.89e-10,4.14e-10,lh,0.1432600859199927,0.0120433411121452,0.0840662703418397,566,-0.5
22qvsCN,L_parahippocampal,0.07,0.08,-0.08,0.22,,,0.347,0.374,lh,0.253750614238687,0.0213318677359973,0.0840662703418397,566,0.07
22qvsCN,L_paracentral,-0.29,0.08,-0.44,-0.14,,,0.0001909999999999,0.000267,lh,0.1580756850541815,0.0132888332742363,0.0840662703418397,566,-0.29
22qvsCN,L_parsopercularis,-0.19,0.08,-0.34,-0.04,,,0.0128,0.016,lh,0.141107643524262,0.0118623933078105,0.0840662703418397,566,-0.19
22qvsCN,L_parsorbitalis,-0.26,0.08,-0.41,-0.11,,,0.000805,0.0011099999999999,lh,0.2067718729739145,0.0173825401725136,0.0840662703418397,566,-0.26
22qvsCN,L_parstriangularis,-0.53,0.08,-0.68,-0.38,,,8.78e-12,2.12e-11,lh,0.1342439775300349,0.0112853905068037,0.0840662703418397,566,-0.53
22qvsCN,L_pericalcarine,-1.18,0.08,-1.34,-1.02,,,4.879999999999999e-46,4.270000000000001e-45,lh,0.1515153742526108,0.012737332412865,0.0840662703418397,566,-1.18
22qvsCN,L_postcentral,-0.68,0.08,-0.84,-0.53,,,5.27e-18,1.47e-17,lh,0.1565426209458112,0.0131599542924507,0.0840662703418397,566,-0.68
22qvsCN,L_posteriorcingulate,-0.42,0.08,-0.57,-0.27,,,7.19e-08,1.4e-07,lh,0.1439203019218107,0.0120988430090381,0.0840662703418397,566,-0.42
22qvsCN,L_precentral,0.41,0.08,0.26,0.56,,,1.58e-07,2.99e-07,lh,0.1234912044252991,0.0103814449760565,0.0840662703418397,566,0.41
22qvsCN,L_precuneus,-1.32,0.08,-1.48,-1.16,,,2.39e-55,3.3399999999999996e-54,lh,0.115806001618221,0.0097353786392448,0.0840662703418397,566,-1.32
22qvsCN,L_rostralanteriorcingulate,-0.69,0.08,-0.84,-0.54,,,2.0400000000000007e-18,5.96e-18,lh,0.1985332985113387,0.0166899539445113,0.0840662703418397,566,-0.69
22qvsCN,L_rostralmiddlefrontal,-0.86,0.08,-1.01,-0.7,,,8.94e-27,3.68e-26,lh,0.1574330702065638,0.0132348110407308,0.0840662703418397,566,-0.86
22qvsCN,L_superiorfrontal,-0.34,0.08,-0.49,-0.19,,,8.33e-06,1.3e-05,lh,0.1296969686255579,0.0109031404269932,0.0840662703418397,566,-0.34
22qvsCN,L_superiorparietal,-1.1,0.08,-1.26,-0.94,,,9.02e-41,6.31e-40,lh,0.1358861602066383,0.0114234426796458,0.0840662703418397,566,-1.1
22qvsCN,L_superiortemporal,-0.39,0.08,-0.55,-0.24,,,3.51e-07,6.31e-07,lh,0.1176477597997551,0.009890208380438,0.0840662703418397,566,-0.39
22qvsCN,L_supramarginal,-0.15,0.08,-0.3,0.0,,,0.0485,0.0566,lh,0.1082569006559294,0.009100753876911,0.0840662703418397,566,-0.15
22qvsCN,L_frontalpole,-0.17,0.08,-0.32,-0.03,,,0.023,0.0283,lh,0.3878276705376012,0.0326032257974599,0.0840662703418397,566,-0.17
22qvsCN,L_temporalpole,-0.61,0.08,-0.76,-0.46,,,9.38e-15,2.53e-14,lh,0.3829949443932145,0.0321969565349178,0.0840662703418397,566,-0.61
22qvsCN,L_transversetemporal,-0.39,0.08,-0.54,-0.24,,,6.24e-07,1.06e-06,lh,0.1809503801815842,0.0152118235788037,0.0840662703418397,566,-0.39
22qvsCN,L_insula,0.31,0.08,0.16,0.46,,,7.099999999999999e-05,0.000101,lh,0.299847994886643,0.0252071025995991,0.0840662703418397,566,0.31
22qvsCN,R_bankssts,-0.24,0.08,-0.39,-0.09,,,0.0017,0.00229,rh,0.1825977843962243,0.0153503147068739,0.0840662703418397,566,-0.24
22qvsCN,R_caudalanteriorcingulate,-0.81,0.08,-0.97,-0.66,,,1.93e-24,7.52e-24,rh,0.1383714680931598,0.0116323732443168,0.0840662703418397,566,-0.81
22qvsCN,R_caudalmiddlefrontal,-0.07,0.08,-0.21,0.08,,,0.3929999999999999,0.417,rh,0.1657564399893244,0.0139345256950434,0.0840662703418397,566,-0.07
