CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
22qvsCN,L_bankssts,-0.03,0.08,-0.18,0.12,,,0.67,0.711,lh,0.1677499689699687,0.0141021142412646,0.0840662703418397,566,-0.03
22qvsCN,L_caudalanteriorcingulate,-0.21,0.08,-0.36,-0.06,,,0.0056799999999999,0.0073599999999999,lh,0.218059913852788,0.0183314836686667,0.0840662703418397,566,-0.21
22qvsCN,L_caudalmiddlefrontal,0.51,0.08,0.36,0.66,,,6.79e-11,2.07e-10,lh,0.1754537886883238,0.0147497456323726,0.0840662703418397,566,0.51
22qvsCN,L_cuneus,0.52,0.08,0.37,0.67,,,2.55e-11,8.12e-11,lh,0.2156188068256477,0.0181262689053898,0.0840662703418397,566,0.52
22qvsCN,L_entorhinal,0.16,0.08,0.01,0.31,,,0.041,0.0495,lh,0.3470851322603475,0.0291781525602315,0.0840662703418397,566,0.16
22qvsCN,L_fusiform,0.19,0.08,0.04,0.34,,,0.0117,0.0149,lh,0.2208815572798723,0.0185686887078163,0.0840662703418397,566,0.19
22qvsCN,L_inferiorparietal,0.25,0.08,0.1,0.4,,,0.00101,0.00144,lh,0.1391924238955952,0.011701387936743,0.0840662703418397,566,0.25
22qvsCN,L_inferiortemporal,0.28,0.08,0.13,0.43,,,0.000318,0.000474,lh,0.1933617196161122,0.0162551985950111,0.0840662703418397,566,0.28
22qvsCN,L_isthmuscingulate,0.3,0.08,0.15,0.45,,,0.000123,0.000195,lh,0.2217328411887773,0.0186402529710399,0.0840662703418397,566,0.3
22qvsCN,L_lateraloccipital,0.22,0.08,0.07,0.37,,,0.0044,0.00616,lh,0.150791017775439,0.0126764384654312,0.0840662703418397,566,0.22
22qvsCN,L_lateralorbitofrontal,0.47,0.08,0.32,0.62,,,1.71e-09,4.27e-09,lh,0.2366271707244036,0.0198923637043423,0.0840662703418397,566,0.47
22qvsCN,L_lingual,0.41,0.08,0.26,0.56,,,1.12e-07,2.1800000000000002e-07,lh,0.2512365800286637,0.0211205222564488,0.0840662703418397,566,0.41
22qvsCN,L_medialorbitofrontal,0.56,0.08,0.41,0.71,,,7.789999999999999e-13,3.03e-12,lh,0.2975518992888137,0.0250140784063412,0.0840662703418397,566,0.56
22qvsCN,L_middletemporal,0.37,0.08,0.22,0.52,,,1.67e-06,3.07e-06,lh,0.1657611287649302,0.0139349198629211,0.0840662703418397,566,0.37
22qvsCN,L_parahippocampal,-0.59,0.08,-0.74,-0.44,,,6.8e-14,3.4e-13,lh,0.1422978600733205,0.011962450373989,0.0840662703418397,566,-0.59
22qvsCN,L_paracentral,0.55,0.08,0.4,0.7,,,2.65e-12,9.47e-12,lh,0.2092279907162433,0.0175890168306316,0.0840662703418397,566,0.55
22qvsCN,L_parsopercularis,0.57,0.08,0.42,0.72,,,2.6300000000000004e-13,1.15e-12,lh,0.1716496166533328,0.0144299430776522,0.0840662703418397,566,0.57
22qvsCN,L_parsorbitalis,0.44,0.08,0.29,0.59,,,1.71e-08,3.99e-08,lh,0.2587111955052084,0.0217488853018013,0.0840662703418397,566,0.44
22qvsCN,L_parstriangularis,0.5,0.08,0.35,0.66,,,1e-10,2.92e-10,lh,0.1949399530679564,0.0163878747950363,0.0840662703418397,566,0.5
22qvsCN,L_pericalcarine,0.72,0.08,0.57,0.87,,,8.679999999999999e-20,2.03e-18,lh,0.2585784996498571,0.0217377300561521,0.0840662703418397,566,0.72
22qvsCN,L_postcentral,0.61,0.08,0.46,0.77,,,4.9e-15,3.43e-14,lh,0.199377733290489,0.0167609424269414,0.0840662703418397,566,0.61
22qvsCN,L_posteriorcingulate,-0.13,0.08,-0.28,0.02,,,0.0917,0.105,lh,0.2106677030334901,0.0177100480755077,0.0840662703418397,566,-0.13
22qvsCN,L_precentral,0.42,0.08,0.27,0.57,,,6.740000000000002e-08,1.3900000000000001e-07,lh,0.1935317282877348,0.0162694905899601,0.0840662703418397,566,0.42
