SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
ADHDadult_casevsCN,L_bankssts,0.01,-0.06,,,514,709,0.88,0.97,lh,0.1786116799446558,0.0150152177724375,0.0840662703418397,566,
ADHDadult_casevsCN,L_caudalanteriorcingulate,-0.05,-0.06,,,538,730,0.37,0.97,lh,0.1683153490493292,0.014149643635862,0.0840662703418397,566,-0.05
ADHDadult_casevsCN,L_caudalmiddlefrontal,-0.04,-0.06,,,539,733,0.47,0.97,lh,0.1391865515943926,0.0117008942742826,0.0840662703418397,566,-0.04
ADHDadult_casevsCN,L_cuneus,0.0,-0.06,,,539,732,0.97,0.97,lh,0.1320470351444211,0.0111007017542893,0.0840662703418397,566,
ADHDadult_casevsCN,L_entorhinal,-0.01,-0.06,,,479,670,0.93,0.97,lh,0.3530218209694457,0.0296772278381859,0.0840662703418397,566,
ADHDadult_casevsCN,L_fusiform,-0.05,-0.06,,,493,687,0.41,0.97,lh,0.1480590464773536,0.0124467718277202,0.0840662703418397,566,-0.05
ADHDadult_casevsCN,L_inferiorparietal,0.0,-0.06,,,538,730,0.96,0.97,lh,0.0921604482852544,0.0077475851603733,0.0840662703418397,566,
ADHDadult_casevsCN,L_inferiortemporal,-0.03,-0.06,,,493,683,0.57,0.97,lh,0.1600867279656501,0.0134578941513008,0.0840662703418397,566,-0.03
ADHDadult_casevsCN,L_isthmuscingulate,0.05,-0.06,,,539,733,0.43,0.97,lh,0.1325562515823995,0.0111435096810269,0.0840662703418397,566,0.05
ADHDadult_casevsCN,L_lateraloccipital,-0.02,-0.06,,,539,730,0.73,0.97,lh,0.0874525302944431,0.0073518080538105,0.0840662703418397,566,-0.02
ADHDadult_casevsCN,L_lateralorbitofrontal,-0.03,-0.06,,,539,733,0.56,0.97,lh,0.1678207846915011,0.0141080674548554,0.0840662703418397,566,-0.03
ADHDadult_casevsCN,L_lingual,0.0,-0.06,,,494,688,1.0,0.97,lh,0.1180788657866528,0.0099264498528785,0.0840662703418397,566,
ADHDadult_casevsCN,L_medialorbitofrontal,-0.05,-0.06,,,539,731,0.4,0.97,lh,0.2772285734046759,0.02330557219832,0.0840662703418397,566,-0.05
ADHDadult_casevsCN,L_middletemporal,0.01,-0.06,,,477,670,0.86,0.97,lh,0.1432600859199927,0.0120433411121452,0.0840662703418397,566,
ADHDadult_casevsCN,L_parahippocampal,-0.16,-0.06,,,492,688,0.01,0.4,lh,0.253750614238687,0.0213318677359973,0.0840662703418397,566,-0.16
ADHDadult_casevsCN,L_paracentral,0.04,-0.06,,,538,732,0.51,0.97,lh,0.1580756850541815,0.0132888332742363,0.0840662703418397,566,0.04
ADHDadult_casevsCN,L_parsopercularis,-0.04,-0.06,,,539,731,0.52,0.97,lh,0.141107643524262,0.0118623933078105,0.0840662703418397,566,-0.04
ADHDadult_casevsCN,L_parsorbitalis,-0.06,-0.06,,,539,732,0.28,0.97,lh,0.2067718729739145,0.0173825401725136,0.0840662703418397,566,-0.06
ADHDadult_casevsCN,L_parstriangularis,-0.08,-0.06,,,538,732,0.14,0.97,lh,0.1342439775300349,0.0112853905068037,0.0840662703418397,566,-0.08
ADHDadult_casevsCN,L_pericalcarine,-0.08,-0.06,,,539,732,0.16,0.97,lh,0.1515153742526108,0.012737332412865,0.0840662703418397,566,-0.08
ADHDadult_casevsCN,L_postcentral,-0.06,-0.06,,,528,727,0.32,0.97,lh,0.1565426209458112,0.0131599542924507,0.0840662703418397,566,-0.06
ADHDadult_casevsCN,L_posteriorcingulate,-0.09,-0.06,,,539,733,0.13,0.97,lh,0.1439203019218107,0.0120988430090381,0.0840662703418397,566,-0.09
ADHDadult_casevsCN,L_precentral,-0.01,-0.06,,,537,729,0.86,0.97,lh,0.1234912044252991,0.0103814449760565,0.0840662703418397,566,
ADHDadult_casevsCN,L_precuneus,-0.03,-0.06,,,539,732,0.66,0.97,lh,0.115806001618221,0.0097353786392448,0.0840662703418397,566,-0.03
ADHDadult_casevsCN,L_rostralanteriorcingulate,0.02,-0.06,,,535,730,0.74,0.97,lh,0.1985332985113387,0.0166899539445113,0.0840662703418397,566,0.02
