SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
ASD_meta-analysis_casevsCN,Laccumb,-0.05,,,,1071,984,,0.291,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,-0.05
ASD_meta-analysis_casevsCN,Lamyg,-0.06,,,,1068,980,,0.282,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,-0.06
ASD_meta-analysis_casevsCN,Lcaud,-0.05,,,,1070,984,,0.46,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,-0.05
ASD_meta-analysis_casevsCN,Lhippo,-0.03,,,,1069,981,,0.667,0.156646722485764,0.0131687057206513,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Lpal,-0.03,,,,1071,983,,0.556,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Lput,-0.03,,,,1071,985,,0.039,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Lthal,-0.09,,,,1070,982,,0.043,0.1594777173659569,0.013406696901586,0.0840662703418397,566,-0.09
ASD_meta-analysis_casevsCN,LLatVent,0.11,,,,1071,985,,0.031,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.11
ASD_meta-analysis_casevsCN,Raccumb,-0.05,,,,1071,984,,0.291,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,-0.05
ASD_meta-analysis_casevsCN,Ramyg,-0.06,,,,1068,980,,0.282,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,-0.06
ASD_meta-analysis_casevsCN,Rcaud,-0.05,,,,1070,984,,0.46,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,-0.05
ASD_meta-analysis_casevsCN,Rhippo,-0.03,,,,1069,981,,0.667,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Rpal,-0.03,,,,1071,983,,0.556,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Rput,-0.03,,,,1071,985,,0.039,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,Rthal,-0.09,,,,1070,982,,0.043,0.1615252968034185,0.013578829268122,0.0840662703418397,566,-0.09
ASD_meta-analysis_casevsCN,RLatVent,0.11,,,,1071,985,,0.031,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.11
