CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
ASD_meta-analysis_casevsCN,L_bankssts,-0.07,,,,976,1060,,0.126,lh,0.1677499689699687,0.0141021142412646,0.0840662703418397,566,-0.07
ASD_meta-analysis_casevsCN,L_caudalanteriorcingulate,0.03,,,,974,1056,,0.4629999999999999,lh,0.218059913852788,0.0183314836686667,0.0840662703418397,566,0.03
ASD_meta-analysis_casevsCN,L_caudalmiddlefrontal,0.06,,,,977,1059,,0.147,lh,0.1754537886883238,0.0147497456323726,0.0840662703418397,566,0.06
ASD_meta-analysis_casevsCN,L_cuneus,-0.06,,,,977,1057,,0.177,lh,0.2156188068256477,0.0181262689053898,0.0840662703418397,566,-0.06
ASD_meta-analysis_casevsCN,L_entorhinal,-0.24,,,,973,1058,,0.0,lh,0.3470851322603475,0.0291781525602315,0.0840662703418397,566,-0.24
ASD_meta-analysis_casevsCN,L_fusiform,-0.19,,,,975,1059,,0.0,lh,0.2208815572798723,0.0185686887078163,0.0840662703418397,566,-0.19
ASD_meta-analysis_casevsCN,L_inferiorparietal,-0.05,,,,977,1060,,0.298,lh,0.1391924238955952,0.011701387936743,0.0840662703418397,566,-0.05
ASD_meta-analysis_casevsCN,L_inferiortemporal,-0.16,,,,976,1059,,0.0,lh,0.1933617196161122,0.0162551985950111,0.0840662703418397,566,-0.16
ASD_meta-analysis_casevsCN,L_isthmuscingulate,0.05,,,,976,1056,,0.294,lh,0.2217328411887773,0.0186402529710399,0.0840662703418397,566,0.05
ASD_meta-analysis_casevsCN,L_lateraloccipital,-0.02,,,,975,1056,,0.083,lh,0.150791017775439,0.0126764384654312,0.0840662703418397,566,-0.02
ASD_meta-analysis_casevsCN,L_lateralorbitofrontal,0.0,,,,977,1057,,0.947,lh,0.2366271707244036,0.0198923637043423,0.0840662703418397,566,
ASD_meta-analysis_casevsCN,L_lingual,-0.02,,,,976,1058,,0.147,lh,0.2512365800286637,0.0211205222564488,0.0840662703418397,566,
ASD_meta-analysis_casevsCN,L_medialorbitofrontal,0.08,,,,977,1058,,0.063,lh,0.2975518992888137,0.0250140784063412,0.0840662703418397,566,0.08
ASD_meta-analysis_casevsCN,L_middletemporal,-0.12,,,,976,1060,,0.009,lh,0.1657611287649302,0.0139349198629211,0.0840662703418397,566,-0.12
ASD_meta-analysis_casevsCN,L_parahippocampal,-0.11,,,,974,1059,,0.019,lh,0.1422978600733205,0.011962450373989,0.0840662703418397,566,-0.11
ASD_meta-analysis_casevsCN,L_paracentral,-0.05,,,,977,1056,,0.233,lh,0.2092279907162433,0.0175890168306316,0.0840662703418397,566,-0.05
ASD_meta-analysis_casevsCN,L_parsopercularis,-0.03,,,,976,1057,,0.489,lh,0.1716496166533328,0.0144299430776522,0.0840662703418397,566,-0.03
ASD_meta-analysis_casevsCN,L_parsorbitalis,0.04,,,,977,1058,,0.352,lh,0.2587111955052084,0.0217488853018013,0.0840662703418397,566,0.04
ASD_meta-analysis_casevsCN,L_parstriangularis,0.05,,,,975,1056,,0.305,lh,0.1949399530679564,0.0163878747950363,0.0840662703418397,566,0.05
ASD_meta-analysis_casevsCN,L_pericalcarine,-0.01,,,,977,1057,,0.083,lh,0.2585784996498571,0.0217377300561521,0.0840662703418397,566,
ASD_meta-analysis_casevsCN,L_postcentral,-0.07,,,,973,1058,,0.108,lh,0.199377733290489,0.0167609424269414,0.0840662703418397,566,-0.07
ASD_meta-analysis_casevsCN,L_posteriorcingulate,0.05,,,,973,1060,,0.313,lh,0.2106677030334901,0.0177100480755077,0.0840662703418397,566,0.05
ASD_meta-analysis_casevsCN,L_precentral,0.09,,,,974,1058,,0.05,lh,0.1935317282877348,0.0162694905899601,0.0840662703418397,566,0.09
ASD_meta-analysis_casevsCN,L_precuneus,-0.08,,,,977,1060,,0.089,lh,0.126809392921902,0.0106603927072571,0.0840662703418397,566,-0.08
ASD_meta-analysis_casevsCN,L_rostralanteriorcingulate,0.01,,,,976,1056,,0.777,lh,0.2847491307873482,0.023937797408373,0.0840662703418397,566,
ASD_meta-analysis_casevsCN,L_rostralmiddlefrontal,0.11,,,,976,1060,,0.013,lh,0.1904773538965046,0.0160127207266618,0.0840662703418397,566,0.11
