SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
gge_subvol,Laccumb,-0.131,0.098,-0.322,0.06,1204,364,0.178,0.47,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,-0.131
gge_subvol,Lamyg,-0.05,0.134,-0.312,0.213,1214,353,0.71,0.89,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,-0.05
gge_subvol,Lcaud,-0.248,0.076,-0.396,-0.099,1218,362,0.00109,0.015,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,-0.248
gge_subvol,Lhippo,-0.319,0.136,-0.586,-0.052,1204,363,0.019,0.11,0.156646722485764,0.0131687057206513,0.0840662703418397,566,-0.319
gge_subvol,Lpal,-0.159,0.184,-0.519,0.2,1103,344,0.385,0.7,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,-0.159
gge_subvol,Lput,-0.285,0.089,-0.458,-0.111,1130,353,0.00132,0.016,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,-0.285
gge_subvol,Lthal,-0.401,0.135,-0.666,-0.136,1181,360,0.00299,0.028,0.1594777173659569,0.013406696901586,0.0840662703418397,566,-0.401
gge_subvol,LLatVent,0.237,0.085,0.071,0.404,1216,360,0.0052,0.04,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.237
gge_subvol,Raccumb,-0.148,0.086,-0.317,0.022,1199,364,0.0881,0.32,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,-0.148
gge_subvol,Ramyg,-0.122,0.091,-0.301,0.056,1187,363,0.178,0.47,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,-0.122
gge_subvol,Rcaud,-0.198,0.081,-0.357,-0.038,1219,363,0.0153,0.099,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,-0.198
gge_subvol,Rhippo,-0.247,0.133,-0.508,0.014,1214,361,0.0635,0.27,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,-0.247
gge_subvol,Rpal,-0.349,0.097,-0.54,-0.158,1204,363,0.000337,0.0071,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,-0.349
gge_subvol,Rput,-0.234,0.113,-0.456,-0.011,1186,358,0.0393,0.21,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,-0.234
gge_subvol,Rthal,-0.403,0.087,-0.574,-0.233,1210,363,3.6e-06,0.0001,0.1615252968034185,0.013578829268122,0.0840662703418397,566,-0.403
gge_subvol,RLatVent,0.265,0.08,0.108,0.422,1216,362,0.000923,0.015,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.265
