SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
tlemtsl_subvol,Laccumb,-0.102,0.131,-0.359,0.155,1402,413,0.436,0.488,0.2720665413607328,0.0228716194170006,0.0840662703418397,566,-0.102
tlemtsl_subvol,Lamyg,-0.219,0.094,-0.404,-0.034,1413,412,0.0203,0.0388,0.2272955394058503,0.0191078882631864,0.0840662703418397,566,-0.219
tlemtsl_subvol,Lcaud,-0.182,0.118,-0.413,0.049,1418,414,0.122,0.169,0.1032435479466564,0.0086793000127343,0.0840662703418397,566,-0.182
tlemtsl_subvol,Lhippo,-1.728,0.191,-2.103,-1.354,1412,410,1.35e-19,1.13e-17,0.156646722485764,0.0131687057206513,0.0840662703418397,566,-1.728
tlemtsl_subvol,Lpal,-0.269,0.15,-0.563,0.025,1332,398,0.0725,0.111,0.2091429805492201,0.0175818703429488,0.0840662703418397,566,-0.269
tlemtsl_subvol,Lput,-0.385,0.079,-0.54,-0.23,1352,410,1.07e-06,6.42e-06,0.1359332660967781,0.0114274026961409,0.0840662703418397,566,-0.385
tlemtsl_subvol,Lthal,-0.843,0.126,-1.089,-0.596,1384,408,2.19e-11,6.13e-10,0.1594777173659569,0.013406696901586,0.0840662703418397,566,-0.843
tlemtsl_subvol,LLatVent,0.465,0.089,0.29,0.64,1417,414,1.96e-07,1.83e-06,0.011147108504968,0.0009370958371084,0.0840662703418397,566,0.465
tlemtsl_subvol,Raccumb,-0.123,0.161,-0.438,0.193,1396,413,0.447,0.494,0.2297485905574407,0.0193141071244584,0.0840662703418397,566,-0.123
tlemtsl_subvol,Ramyg,0.266,0.091,0.088,0.444,1387,398,0.00342,0.00871,0.2007475491744533,0.0168760977393613,0.0840662703418397,566,0.266
tlemtsl_subvol,Rcaud,-0.063,0.116,-0.291,0.165,1419,413,0.587,0.616,0.1461734363689446,0.0122882556185874,0.0840662703418397,566,-0.063
tlemtsl_subvol,Rhippo,-0.204,0.144,-0.487,0.079,1417,414,0.159,0.209,0.1266388607779865,0.0106460567059448,0.0840662703418397,566,-0.204
tlemtsl_subvol,Rpal,-0.452,0.09,-0.629,-0.275,1406,414,5.48e-07,3.54e-06,0.2326402534573403,0.0195571984395388,0.0840662703418397,566,-0.452
tlemtsl_subvol,Rput,-0.285,0.112,-0.505,-0.064,1386,412,0.0113,0.0243,0.1718404256047445,0.0144459836745452,0.0840662703418397,566,-0.285
tlemtsl_subvol,Rthal,-0.462,0.117,-0.691,-0.232,1412,414,8.12e-05,0.000325,0.1615252968034185,0.013578829268122,0.0840662703418397,566,-0.462
tlemtsl_subvol,RLatVent,0.363,0.093,0.181,0.545,1418,414,8.95e-05,0.000342,0.0126176739238002,0.0010607207871633,0.0840662703418397,566,0.363
