CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
ALLOTHEREPI_vs_CTL,L_bankssts,-0.007,0.064,,,1381,937,0.918,0.918,lh,0.1677499689699687,0.0141021142412646,0.0840662703418397,566,
ALLOTHEREPI_vs_CTL,L_caudalanteriorcingulate,0.05,0.052,,,1442,987,0.336,0.409,lh,0.218059913852788,0.0183314836686667,0.0840662703418397,566,0.05
ALLOTHEREPI_vs_CTL,L_caudalmiddlefrontal,-0.291,0.045,,,1447,1000,1.32e-10,2.22e-09,lh,0.1754537886883238,0.0147497456323726,0.0840662703418397,566,-0.291
ALLOTHEREPI_vs_CTL,L_cuneus,-0.142,0.049,,,1445,1000,0.004,0.00988,lh,0.2156188068256477,0.0181262689053898,0.0840662703418397,566,-0.142
ALLOTHEREPI_vs_CTL,L_entorhinal,-0.149,0.084,,,1210,913,0.077,0.122,lh,0.3470851322603475,0.0291781525602315,0.0840662703418397,566,-0.149
ALLOTHEREPI_vs_CTL,L_fusiform,-0.095,0.045,,,1445,999,0.035,0.0613,lh,0.2208815572798723,0.0185686887078163,0.0840662703418397,566,-0.095
ALLOTHEREPI_vs_CTL,L_inferiorparietal,-0.096,0.045,,,1436,995,0.034,0.0608,lh,0.1391924238955952,0.011701387936743,0.0840662703418397,566,-0.096
ALLOTHEREPI_vs_CTL,L_inferiortemporal,-0.007,0.054,,,1446,996,0.903,0.918,lh,0.1933617196161122,0.0162551985950111,0.0840662703418397,566,
ALLOTHEREPI_vs_CTL,L_isthmuscingulate,-0.093,0.057,,,1446,998,0.103,0.157,lh,0.2217328411887773,0.0186402529710399,0.0840662703418397,566,-0.093
ALLOTHEREPI_vs_CTL,L_lateraloccipital,-0.153,0.048,,,1447,1000,0.00139,0.00403,lh,0.150791017775439,0.0126764384654312,0.0840662703418397,566,-0.153
ALLOTHEREPI_vs_CTL,L_lateralorbitofrontal,-0.065,0.064,,,1443,999,0.315,0.395,lh,0.2366271707244036,0.0198923637043423,0.0840662703418397,566,-0.065
ALLOTHEREPI_vs_CTL,L_lingual,-0.099,0.045,,,1446,1000,0.028,0.0523,lh,0.2512365800286637,0.0211205222564488,0.0840662703418397,566,-0.099
ALLOTHEREPI_vs_CTL,L_medialorbitofrontal,-0.014,0.046,,,1429,975,0.754,0.833,lh,0.2975518992888137,0.0250140784063412,0.0840662703418397,566,
ALLOTHEREPI_vs_CTL,L_middletemporal,-0.074,0.046,,,1345,958,0.112,0.168,lh,0.1657611287649302,0.0139349198629211,0.0840662703418397,566,-0.074
ALLOTHEREPI_vs_CTL,L_parahippocampal,-0.06,0.045,,,1438,995,0.184,0.245,lh,0.1422978600733205,0.011962450373989,0.0840662703418397,566,-0.06
ALLOTHEREPI_vs_CTL,L_paracentral,-0.257,0.045,,,1447,1000,1.34e-08,1.88e-07,lh,0.2092279907162433,0.0175890168306316,0.0840662703418397,566,-0.257
ALLOTHEREPI_vs_CTL,L_parsopercularis,-0.122,0.047,,,1445,999,0.01,0.0221,lh,0.1716496166533328,0.0144299430776522,0.0840662703418397,566,-0.122
ALLOTHEREPI_vs_CTL,L_parsorbitalis,-0.128,0.045,,,1447,999,0.005,0.012,lh,0.2587111955052084,0.0217488853018013,0.0840662703418397,566,-0.128
ALLOTHEREPI_vs_CTL,L_parstriangularis,-0.141,0.045,,,1447,1000,0.002,0.0056,lh,0.1949399530679564,0.0163878747950363,0.0840662703418397,566,-0.141
ALLOTHEREPI_vs_CTL,L_pericalcarine,-0.16,0.054,,,1447,999,0.0031,0.00789,lh,0.2585784996498571,0.0217377300561521,0.0840662703418397,566,-0.16
ALLOTHEREPI_vs_CTL,L_postcentral,-0.065,0.045,,,1444,997,0.152,0.209,lh,0.199377733290489,0.0167609424269414,0.0840662703418397,566,-0.065
ALLOTHEREPI_vs_CTL,L_posteriorcingulate,-0.089,0.061,,,1447,999,0.145,0.203,lh,0.2106677030334901,0.0177100480755077,0.0840662703418397,566,-0.089
ALLOTHEREPI_vs_CTL,L_precentral,-0.375,0.046,,,1442,997,1.76e-16,1.48e-14,lh,0.1935317282877348,0.0162694905899601,0.0840662703418397,566,-0.375
ALLOTHEREPI_vs_CTL,L_precuneus,-0.178,0.047,,,1446,998,0.000134,0.000489,lh,0.126809392921902,0.0106603927072571,0.0840662703418397,566,-0.178
ALLOTHEREPI_vs_CTL,L_rostralanteriorcingulate,-0.023,0.068,,,1442,994,0.731,0.822,lh,0.2847491307873482,0.023937797408373,0.0840662703418397,566,
ALLOTHEREPI_vs_CTL,L_rostralmiddlefrontal,-0.097,0.062,,,1447,999,0.116,0.171,lh,0.1904773538965046,0.0160127207266618,0.0840662703418397,566,-0.097
ALLOTHEREPI_vs_CTL,L_superiorfrontal,-0.243,0.059,,,1446,999,3.51e-05,0.000155,lh,0.1328707621220815,0.0111699494090811,0.0840662703418397,566,-0.243
ALLOTHEREPI_vs_CTL,L_superiorparietal,-0.224,0.045,,,1444,996,7.27e-07,6.79e-06,lh,0.1100478085145132,0.009251308821108,0.0840662703418397,566,-0.224
ALLOTHEREPI_vs_CTL,L_superiortemporal,-0.092,0.059,,,1330,952,0.123,0.178,lh,0.1265950172830762,0.0106423709468489,0.0840662703418397,566,-0.092
