CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
TLEMTS-L_vs_CTL,L_bankssts,-0.1,0.112,-0.319,0.119,1279,383,0.372,0.44,lh,0.1677499689699687,0.0141021142412646,0.0840662703418397,566,-0.1
TLEMTS-L_vs_CTL,L_caudalanteriorcingulate,0.181,0.06,0.064,0.299,1343,411,0.003,0.00714,lh,0.218059913852788,0.0183314836686667,0.0840662703418397,566,0.181
TLEMTS-L_vs_CTL,L_caudalmiddlefrontal,-0.403,0.07,-0.539,-0.266,1344,412,7.07e-09,8.48e-08,lh,0.1754537886883238,0.0147497456323726,0.0840662703418397,566,-0.403
TLEMTS-L_vs_CTL,L_cuneus,-0.19,0.127,-0.438,0.059,1342,412,0.134,0.182,lh,0.2156188068256477,0.0181262689053898,0.0840662703418397,566,-0.19
TLEMTS-L_vs_CTL,L_entorhinal,-0.445,0.072,-0.586,-0.303,1102,303,7.35e-10,1.23e-08,lh,0.3470851322603475,0.0291781525602315,0.0840662703418397,566,-0.445
TLEMTS-L_vs_CTL,L_fusiform,-0.359,0.069,-0.495,-0.223,1339,412,2.19e-07,1.84e-06,lh,0.2208815572798723,0.0185686887078163,0.0840662703418397,566,-0.359
TLEMTS-L_vs_CTL,L_inferiorparietal,-0.242,0.129,-0.496,0.011,1333,410,0.061,0.0972,lh,0.1391924238955952,0.011701387936743,0.0840662703418397,566,-0.242
TLEMTS-L_vs_CTL,L_inferiortemporal,-0.207,0.075,-0.353,-0.06,1342,412,0.006,0.014,lh,0.1933617196161122,0.0162551985950111,0.0840662703418397,566,-0.207
TLEMTS-L_vs_CTL,L_isthmuscingulate,-0.021,0.079,-0.175,0.134,1343,411,0.791,0.81,lh,0.2217328411887773,0.0186402529710399,0.0840662703418397,566,-0.021
TLEMTS-L_vs_CTL,L_lateraloccipital,-0.311,0.15,-0.606,-0.016,1344,412,0.039,0.0665,lh,0.150791017775439,0.0126764384654312,0.0840662703418397,566,-0.311
TLEMTS-L_vs_CTL,L_lateralorbitofrontal,-0.06,0.073,-0.202,0.083,1343,412,0.411,0.469,lh,0.2366271707244036,0.0198923637043423,0.0840662703418397,566,-0.06
TLEMTS-L_vs_CTL,L_lingual,-0.352,0.133,-0.612,-0.092,1343,412,0.008,0.0182,lh,0.2512365800286637,0.0211205222564488,0.0840662703418397,566,-0.352
TLEMTS-L_vs_CTL,L_medialorbitofrontal,0.041,0.082,-0.119,0.202,1344,412,0.613,0.636,lh,0.2975518992888137,0.0250140784063412,0.0840662703418397,566,0.041
TLEMTS-L_vs_CTL,L_middletemporal,-0.287,0.095,-0.473,-0.101,1241,386,0.002,0.00714,lh,0.1657611287649302,0.0139349198629211,0.0840662703418397,566,-0.287
TLEMTS-L_vs_CTL,L_parahippocampal,-0.3,0.073,-0.444,-0.157,1335,410,3.95e-05,0.000175,lh,0.1422978600733205,0.011962450373989,0.0840662703418397,566,-0.3
TLEMTS-L_vs_CTL,L_paracentral,-0.426,0.099,-0.62,-0.232,1344,412,1.61e-05,7.51e-05,lh,0.2092279907162433,0.0175890168306316,0.0840662703418397,566,-0.426
TLEMTS-L_vs_CTL,L_parsopercularis,-0.2,0.095,-0.386,-0.014,1342,411,0.035,0.0651,lh,0.1716496166533328,0.0144299430776522,0.0840662703418397,566,-0.2
