CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,Unnamed: 10,Unnamed: 11,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
TLEMTS-R_vs_CTL,L_bankssts,-0.218858574,0.149971758,-0.512797818,0.07508067,1228,322,0.144473773,0.203,,,lh,0.1677499689699687,0.0141021142412646,0.0840662703418397,566,-0.218858574
TLEMTS-R_vs_CTL,L_caudalanteriorcingulate,-0.022123014,0.077972734,-0.174946764,0.130700736,1287,337,0.776619167,0.837,,,lh,0.218059913852788,0.0183314836686667,0.0840662703418397,566,-0.022123014
TLEMTS-R_vs_CTL,L_caudalmiddlefrontal,-0.300518981,0.097941233,-0.49248027,-0.108557691,1292,338,0.00215237,0.00821,,,lh,0.1754537886883238,0.0147497456323726,0.0840662703418397,566,-0.300518981
TLEMTS-R_vs_CTL,L_cuneus,-0.286509144,0.136514962,-0.554073553,-0.018944735,1290,338,0.035839999,0.0716,,,lh,0.2156188068256477,0.0181262689053898,0.0840662703418397,566,-0.286509144
TLEMTS-R_vs_CTL,L_entorhinal,-0.113841429,0.075339079,-0.261503311,0.033820453,1050,252,0.130774652,0.2,,,lh,0.3470851322603475,0.0291781525602315,0.0840662703418397,566,-0.113841429
TLEMTS-R_vs_CTL,L_fusiform,-0.160962436,0.06391738,-0.286238199,-0.035686673,1287,337,0.011792651,0.031,,,lh,0.2208815572798723,0.0185686887078163,0.0840662703418397,566,-0.160962436
TLEMTS-R_vs_CTL,L_inferiorparietal,-0.236242122,0.125827095,-0.482858697,0.010374453,1281,336,0.060447692,0.101,,,lh,0.1391924238955952,0.011701387936743,0.0840662703418397,566,-0.236242122
TLEMTS-R_vs_CTL,L_inferiortemporal,-0.05846299,0.063797756,-0.183504294,0.066578314,1290,338,0.359467603,0.437,,,lh,0.1933617196161122,0.0162551985950111,0.0840662703418397,566,-0.05846299
TLEMTS-R_vs_CTL,L_isthmuscingulate,0.081219129,0.079117344,-0.073848017,0.236286275,1291,338,0.304625149,0.388,,,lh,0.2217328411887773,0.0186402529710399,0.0840662703418397,566,0.081219129
TLEMTS-R_vs_CTL,L_lateraloccipital,-0.251418855,0.123917664,-0.494293013,-0.008544697,1292,338,0.04246658,0.0811,,,lh,0.150791017775439,0.0126764384654312,0.0840662703418397,566,-0.251418855
TLEMTS-R_vs_CTL,L_lateralorbitofrontal,-0.0174911,0.076957573,-0.168325172,0.133342972,1288,338,0.820204178,0.856,,,lh,0.2366271707244036,0.0198923637043423,0.0840662703418397,566,
TLEMTS-R_vs_CTL,L_lingual,-0.383861994,0.137421187,-0.653202571,-0.114521418,1291,338,0.00521693,0.0162,,,lh,0.2512365800286637,0.0211205222564488,0.0840662703418397,566,-0.383861994
TLEMTS-R_vs_CTL,L_medialorbitofrontal,0.082401707,0.063945622,-0.04292941,0.207732823,1274,336,0.19752969,0.273,,,lh,0.2975518992888137,0.0250140784063412,0.0840662703418397,566,0.082401707
TLEMTS-R_vs_CTL,L_middletemporal,-0.111922786,0.110975749,-0.329431257,0.105585686,1190,320,0.313198305,0.392,,,lh,0.1657611287649302,0.0139349198629211,0.0840662703418397,566,-0.111922786
TLEMTS-R_vs_CTL,L_parahippocampal,-0.015255102,0.082004572,-0.17598111,0.145470905,1283,337,0.852423228,0.862,,,lh,0.1422978600733205,0.011962450373989,0.0840662703418397,566,-0.015255102
TLEMTS-R_vs_CTL,L_paracentral,-0.504805807,0.102114629,-0.704946803,-0.304664811,1292,338,7.67e-07,9.2e-06,,,lh,0.2092279907162433,0.0175890168306316,0.0840662703418397,566,-0.504805807
TLEMTS-R_vs_CTL,L_parsopercularis,-0.153350643,0.104651803,-0.358464407,0.051763121,1290,338,0.142827734,0.203,,,lh,0.1716496166533328,0.0144299430776522,0.0840662703418397,566,-0.153350643
