CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
OCDadults_casevsCN,L_bankssts,-0.06,0.0069999999999999,,,1284,1357,0.123,0.239,lh,0.1677499689699687,0.0141021142412646,0.0840662703418397,566,-0.06
OCDadults_casevsCN,L_caudalanteriorcingulate,0.003,0.011,,,1415,1473,0.93,0.943,lh,0.218059913852788,0.0183314836686667,0.0840662703418397,566,
OCDadults_casevsCN,L_caudalmiddlefrontal,-0.09,0.006,,,1429,1478,0.016,0.077,lh,0.1754537886883238,0.0147497456323726,0.0840662703418397,566,-0.09
OCDadults_casevsCN,L_cuneus,-0.042,0.005,,,1404,1465,0.258,0.3929999999999999,lh,0.2156188068256477,0.0181262689053898,0.0840662703418397,566,-0.042
OCDadults_casevsCN,L_entorhinal,-0.062,0.0139999999999999,,,1318,1381,0.11,0.2289999999999999,lh,0.3470851322603475,0.0291781525602315,0.0840662703418397,566,-0.062
OCDadults_casevsCN,L_fusiform,-0.109,0.005,,,1428,1488,0.004,0.0579999999999999,lh,0.2208815572798723,0.0185686887078163,0.0840662703418397,566,-0.109
OCDadults_casevsCN,L_inferiorparietal,-0.14,0.005,,,1364,1434,0.0002279999999999,0.008,lh,0.1391924238955952,0.011701387936743,0.0840662703418397,566,-0.14
OCDadults_casevsCN,L_inferiortemporal,-0.087,0.006,,,1383,1470,0.021,0.086,lh,0.1933617196161122,0.0162551985950111,0.0840662703418397,566,-0.087
OCDadults_casevsCN,L_isthmuscingulate,-0.068,0.008,,,1431,1492,0.066,0.17,lh,0.2217328411887773,0.0186402529710399,0.0840662703418397,566,-0.068
OCDadults_casevsCN,L_lateraloccipital,-0.074,0.005,,,1419,1480,0.046,0.143,lh,0.150791017775439,0.0126764384654312,0.0840662703418397,566,-0.074
OCDadults_casevsCN,L_lateralorbitofrontal,-0.096,0.006,,,1433,1494,0.01,0.067,lh,0.2366271707244036,0.0198923637043423,0.0840662703418397,566,-0.096
OCDadults_casevsCN,L_lingual,-0.052,0.005,,,1427,1490,0.16,0.285,lh,0.2512365800286637,0.0211205222564488,0.0840662703418397,566,-0.052
OCDadults_casevsCN,L_medialorbitofrontal,-0.084,0.0069999999999999,,,1430,1490,0.024,0.092,lh,0.2975518992888137,0.0250140784063412,0.0840662703418397,566,-0.084
OCDadults_casevsCN,L_middletemporal,-0.093,0.006,,,1320,1367,0.017,0.077,lh,0.1657611287649302,0.0139349198629211,0.0840662703418397,566,-0.093
OCDadults_casevsCN,L_parahippocampal,-0.059,0.012,,,1424,1489,0.115,0.2289999999999999,lh,0.1422978600733205,0.011962450373989,0.0840662703418397,566,-0.059
OCDadults_casevsCN,L_paracentral,-0.013,0.006,,,1430,1490,0.7290000000000001,0.823,lh,0.2092279907162433,0.0175890168306316,0.0840662703418397,566,
